CatalogueNumber,ScientificName,QualifiedScientificName,CommonName,Family,Genus,Species,SpeciesAuthority,Subspecies,SubspeciesAuthority,Variety,VarietyAuthority,Forma,FormaAuthority,Identifier,IDDate,IDNotes,CDC,MuseumCollection,CollectionEventNumber,Collector,CollectorsFieldNumber,CollectionDate,CollectorSiteID,Prov_State,District,LocationName,LocationDescription,Latitude,Longitude,Approximate,UTMZone,UTMNorthing,UTMEasting,Elevation,Park_ER_IR,HabitatRemarks,SpecimenNotes,SpeciesAbundance
V175326,Isoetes echinospora Dur.,Isoetes echinospora Dur.,bristle-like quillwort; quillwort,Isoetaceae,Isoetes,echinospora,Dur.,,,,,,, Harvey Janszen,,,Not Listed,Janszen 1996,BE047753, Harvey Janszen,02630,1996-09-25,BS040280,British Columbia,Vancouver Island,Metchosin; Matheson Lake,,48.3630555555556,-123.596111111111,False,10U,535660,45584,50 m (min.),,"On salty lake shore; 100 plants with Potamogeton robbinsii, P. amplifolius",,
V170222,Saxifraga rufidula (Small) Macoun,Saxifraga rufidula (Small) Macoun,rusty-haired saxifrage; saxifrage,Saxifragaceae,Saxifraga,rufidula,(Small) Macoun,,,,,,, Harvey Janszen,1996-01-01,,Not Listed,Janszen 1996,BE048708, Harvey Janszen; Jenifer Penny; Charlotte Norris,2436,1996-05-15,BS040980,British Columbia,Gulf Islands,Mount Maxwell; Saltspring Island,,48.805,-123.526111111111,False,10U,54056,4614,425 m (min.),Mount Maxwell Ecological Reserve #37,"in seepy crevices with Sedum spathulifolium, Mimulus guttatus & Allium amplectens in vertical conglomerate cliffs; with Potentilla glandulosa, Mimulus alsinoides & Plectritis congesta",population of 70 plants,
V107344,Microsteris gracilis (Hook.) Greene,Microsteris gracilis (Hook.) Greene,pink twink; twink,Polemoniaceae,Microsteris,gracilis,(Hook.) Greene,,,,,,, Harvey Janszen,1980-01-01,,Not Listed,Janszen 1980,BE042606, Harvey Janszen,1547,1980-04-03,BS036231,British Columbia,,Gulf Islands; Saltspring Island; Mount Maxwell,,48.75,-123.483333333333,False,,,,,,rocky outcrops at summit; S facing,,
V175327,Ceratophyllum echinatum A. Gray,Ceratophyllum echinatum A. Gray,hornwort; spring hornwort,Ceratophyllaceae,Ceratophyllum,echinatum,A. Gray,,,,,,, Harvey Janszen,,,Yellow,Janszen 1996,BE054981, Harvey Janszen,02632,1996-09-29,BS045757,British Columbia,Gulf Islands,Saturna Island,Wood Duck pond,48.7994444444444,-123.174166666667,False,10U,540495,48721,45 m (min.),,"In shallow pond with standing dead trees dominated by Scirpus microcarpus, Oenanthe sarmentosa, Lemna minor; 1000 plants with Mentha arvensis, Carex obnupta",,
V107327,Avena sativa L.,Avena sativa L.,common oat; grass,Poaceae,Avena,sativa,L.,,,,,,, Harvey Janszen,1980-01-01,,Not Listed,Janszen 1980,BE041215, Harvey Janszen,1856,1980-07-29,BS035303,British Columbia,Gulf Islands,Ganges,Saltspring Island,48.75,-123.483333333333,False,,,,,,Waste ground.,,
V113833,Trisetum canescens Buckl.,Trisetum canescens Buckl.,grass; tall trisetum,Poaceae,Trisetum,canescens,Buckl.,,,,,,, Harvey Janszen,1981-01-01,,Not Listed,Janszen 1981,BE052907, Harvey Janszen,s.n.,1981-05-28,BS044171,British Columbia,,Prevost Island,,48.8333333333333,-123.383333333333,False,,,,,,mossy N slope with Arbutus and Douglas fir,,
V120296A,Bromus hordeaceus L.,Bromus hordeaceus L.,grass; soft brome,Poaceae,Bromus,hordeaceus,L.,,,,,,, Jeffery Saarela,2009-01-01,IDD:  20090000; Saarela disagrees with Pavlick and calls both A & B  B. hordeaceus; Pavlick notes a mixed sheet with Bromus racemosus L.,Not Listed,Janszen 1982,BE056973, Harvey Janszen,2150,1982-07-12,BS047329,British Columbia,Gulf Islands,South Pender Island,Central Valley,48.75,-123.216666666667,False,,,,,,wet farm field,,
V120116,Collomia heterophylla Hook.,Collomia heterophylla Hook.,vari-leaved collomia,Polemoniaceae,Collomia,heterophylla,Hook.,,,,,,, Harvey Janszen,1982-01-01,,Not Listed,Janszen 1982,BE050373, Harvey Janszen,2280,1982-07-29,BS042121,British Columbia,,North Pender Island; Hope Hill,,48.75,-123.483333333333,False,,,,,,dirt roads throughout; dry fir arbutus forest,,
V185054,Trifolium variegatum Nutt.,Trifolium variegatum Nutt.,clover; white-tipped clover,Fabaceae,Trifolium,variegatum,Nutt.,,,,,,, Ryan Batten; Hans Roemer,2018-12-21,,Not Listed,Penny 1998,BE037270, Jenifer Penny; George Douglas; Harvey Janszen; Marie Fontaine,251,1998-03-16,BS032126,British Columbia,Gulf Islands,Coal Island,"Off Sidney, SE corner of island.",48.6666666666667,-123.383333333333,False,10U,5391890,471602,15 m (min.),,"In grassy mossy fringe of Douglas-fir forest with Poa annua, Aira praecox, Tritelia hyacinthina; aspect N116 degrees W. Also with Cardamine oligosperma, Hypochaeris radicata.",Fairly high cover.,
V113811,Juncus articulatus L.,Juncus articulatus L.,jointed rush; rush,Juncaceae,Juncus,articulatus,L.,,,,,,,,,,Not Listed,,BE054722, Harvey Janszen,,1981-08-29,BS045540,British Columbia,Gulf Islands,Saltspring Island; Cusheon Lake,,48.7,-123.4,False,,,,,,,,
