CatalogueNumber,ScientificName,QualifiedScientificName,CommonName,Family,Genus,Species,SpeciesAuthority,Subspecies,SubspeciesAuthority,Variety,VarietyAuthority,Forma,FormaAuthority,Identifier,IDDate,IDNotes,CDC,MuseumCollection,CollectionEventNumber,Collector,CollectorsFieldNumber,CollectionDate,CollectorSiteID,Prov_State,District,LocationName,LocationDescription,Latitude,Longitude,Approximate,UTMZone,UTMNorthing,UTMEasting,Elevation,Park_ER_IR,HabitatRemarks,SpecimenNotes,SpeciesAbundance
V206517,Callitriche heterophylla Pursh ssp. bolanderi (Hegelm.) Calder & Taylor,Callitriche heterophylla Pursh ssp. bolanderi (Hegelm.) Calder & Taylor,diverse-leaved water-starwort; water-starwort,Callitrichaceae,Callitriche,heterophylla,,bolanderi,(Hegelm.) Calder & Taylor,,,,, Harvey Janszen,,,Not Listed,Janszen 1997,BE070227, Harvey Janszen; Pam Janszen; M. Fontaine,2842,1997-07-20,BS058116,British Columbia,,"Texada Island, British Columbia","Texada Island, S end of Mouat Point",49.6197222222222,-124.431388888889,False,10U,549735,39640,2 m (min.),,In vernal pools 1 m above high tide line,Ca. 20 plants in 30 cm x 30 cm pool. No associates.,
V156488,Deschampsia elongata (Hook.) Munro ex Benth.,Deschampsia elongata (Hook.) Munro ex Benth.,grass; slender hairgrass,Poaceae,Deschampsia,elongata,(Hook.) Munro ex Benth.,,,,,,, Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,BE021024, Harvey Janszen,1113,1979-06-04,BS018202,British Columbia,Gulf Islands,Mayne Island,below Hall Hill,48.85,-123.283333333333,False,,,,,,waste ground,,
V083378,Poa secunda J. Presl ssp. secunda,Poa secunda J. Presl ssp. secunda,grass; Sandberg's bluegrass,Poaceae,Poa,secunda,,secunda,,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1975,BE021021, Harvey Janszen,411,1975-05-06,BS018199,British Columbia,Gulf Islands,Mayne Island,above Navy Channel,48,-123,False,,,,,,open S facing bluffs,,
V097301A,Poa compressa L.,Poa compressa L.,Canada bluegrass; grass,Poaceae,Poa,compressa,L.,,,,,,, R. Soreng,1990-01-01,,Not Listed,Janszen 1975,BE020976, Harvey Janszen,s.n.,1975-07-09,BS018162,British Columbia,Gulf Islands,Mayne Island,,48.85,-123.283333333333,False,,,,,,"dry, hillside meadow",,
V097777,Carex lenticularis Michx. var. lipocarpa (Holm) Standley,Carex lenticularis Michx. var. lipocarpa (Holm) Standley,Kellogg's sedge; sedge,Cyperaceae,Carex,lenticularis,,,,lipocarpa,(Holm) Standley,,, Adolf Ceska,2000-08-01,,Not Listed,Janszen 1977,BE024802, Harvey Janszen,956,1977-05-25,BS021557,British Columbia,Gulf Islands,North Pender Island,Dept. of Hwy. yard.,48.7833333333333,-123.283333333333,False,,,,,,Ditches.,,
V098664,Carex exsiccata Bailey,Carex exsiccata Bailey,inflated sedge; sedge,Cyperaceae,Carex,exsiccata,Bailey,,,,,,, Jenifer Penny,2000-08-02,,Not Listed,Janszen 1979,BE029895, Harvey Janszen,1485,1979-01-01,BS026089,British Columbia,Gulf Islands,"Saltspring Island; Bruce, Mount",E side of Mount Bruce.,48.75,-123.483333333333,False,,,,1300 ft. (min.),,Fen.,,
V098557,Poa compressa L.,Poa compressa L.,Canada bluegrass; grass,Poaceae,Poa,compressa,L.,,,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1979,BE024800, Harvey Janszen,1218,1979-06-19,BS021555,British Columbia,Gulf Islands,North Pender Island,Clam Bay Road,48.7833333333333,-123.283333333333,False,,,,,,moist roadside,,
V098383,Carex utriculata Boott,Carex utriculata Boott,beaked sedge; sedge,Cyperaceae,Carex,utriculata,Boott,,,,,,, Jenifer Penny,2000-08-02,,Not Listed,Janszen 1979,BE012151, Harvey Janszen,1278,1979-06-28,BS010476,British Columbia,Gulf Islands,Galiano Island,Sec-L-66,48.9333333333333,-123.45,False,,,,,,lake,,
V097451,Juncus ensifolius Wikstr.,Juncus ensifolius Wikstr.,dagger-leaf rush; rush,Juncaceae,Juncus,ensifolius,Wikstr.,,,,,,,,,,Not Listed,,BE030284, Harvey Janszen,,1973-07-10,BS026424,British Columbia,Gulf Islands,Saturna Island,,,,False,,,,,,,,
V206209,Botrychium multifidum (Gmel.) Rupr.,Botrychium multifidum (Gmel.) Rupr.,fern; leathery grape fern,Ophioglossaceae,Botrychium,multifidum,(Gmel.) Rupr.,,,,,,, Harvey Janszen,,,Not Listed,Janszen 1997,BE070003, Harvey Janszen; M. Fontaine,2783,1997-06-23,BS057927,British Columbia,,"Anderson Bay Road, Texada Island",,49.5666666666667,124.216666666667,False,10U,549166,41121,610 m (min.),,"In weedy drainage channel between low basalt ridges, dominated by Leucanthemum vulgare & Botrychium multifidum. Slope 10%, aspect N50°W",,
V097468,Equisetum telmateia Ehrh.,Equisetum telmateia Ehrh.,giant horsetail; horsetail,Equisetaceae,Equisetum,telmateia,Ehrh.,,,,,,, Adolf Ceska,1981-01-01,,Not Listed,,BE030281, Harvey Janszen,109,1973-05-08,BS026422,British Columbia,,Saturna Island,,48.7833333333333,-123.15,False,,,,,,swamps,,
V087254,Poa secunda J. Presl ssp. secunda,Poa secunda J. Presl ssp. secunda,grass; Sandberg's bluegrass,Poaceae,Poa,secunda,,secunda,,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1976,BE030382, Harvey Janszen,860,1976-06-04,BS026502,British Columbia,Gulf Islands,Saturna Island,trail up to second ridge,48.7833333333333,-123.2,False,,,,,,"dry, open woods",,
V098035B,Mimulus alsinoides Dougl. ex Benth.,Mimulus alsinoides Dougl. ex Benth.,chickweed monkey-flower; monkey-flower,Scrophulariaceae,Mimulus,alsinoides,Dougl. ex Benth.,,,,,,, Jennifer Modliszewski,2012-12-19,"Determination confirmed as M. alsinoides by Jennifer Modliszewski, Duke University, December 19, 2012",Not Listed,,BE020962, Harvey Janszen,978,1979-04-06,BS018158,British Columbia,Gulf Islands,Mayne Island,,,,False,,,,,,,"This sheet also contains specimens of M. sookensis (V098035A, pressed sheet)",
V097818,Botrychium silaifolium K.B. Presl,Botrychium silaifolium K.B. Presl,celery moonwort; fern,Ophioglossaceae,Botrychium,silaifolium,K.B. Presl,,,,,,, Adolf Ceska,2002-02-14,"Ceska, a member of the British Columbia Conservation Data Centre at this time (20020214)",Not Listed,Janszen 1979,BE012150, Harvey Janszen,1164A,1979-06-08,BS010475,British Columbia,Gulf Islands,Galiano Island,Sec-L-19,48.9333333333333,-123.45,False,,,,,,disturbed roadside and ditch,,
V095299,Poa trivialis L.,Poa trivialis L.,grass; rough bluegrass,Poaceae,Poa,trivialis,L.,,,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1974,BE030362, Harvey Janszen,378,1974-06-22,BS026482,British Columbia,Gulf Islands,Saturna Island,,48.7833333333333,-123.163888888889,False,,,,,,wet meadow,,
V083282,Ranunculus occidentalis Nutt.,Ranunculus occidentalis Nutt.,buttercup; western buttercup,Ranunculaceae,Ranunculus,occidentalis,Nutt.,,,,,,, Margaret Heimburger,1979-07-01,,Not Listed,Janszen 1975,BE021016, Harvey Janszen,534,1975-05-29,BS018194,British Columbia,Gulf Islands,Mayne Island,,48.85,-123.283333333333,False,,,,,,"open forest on ridge top, S exposure",,
V083296,Carex lenticularis Michx. var. lipocarpa (Holm) Standley,Carex lenticularis Michx. var. lipocarpa (Holm) Standley,Kellogg's sedge; sedge,Cyperaceae,Carex,lenticularis,,,,lipocarpa,(Holm) Standley,,, Adolf Ceska,2000-08-04,,Not Listed,Janszen 1975,BE021020, Harvey Janszen,517,1975-05-29,BS018198,British Columbia,,Mayne Island,Above Campbell Bay.,48,-123,False,,,,,,Wet meadow.,,
V097812,Stellaria borealis Bigelow ssp. sitchana (Steud.) Piper & Beattie,Stellaria borealis Bigelow ssp. sitchana (Steud.) Piper & Beattie,boreal starwort; starwort,Caryophyllaceae,Stellaria,borealis,,sitchana,(Steud.) Piper & Beattie,,,,, Richard Rabeler,2008-01-01,IDD:  20080000; Rabeler from the University of Michigan Herbarium,Not Listed,Janszen 1979,BE012147, Harvey Janszen,1283,1979-06-28,BS010472,British Columbia,Gulf Islands,Galiano Island,sec L-66,48.9333333333333,-123.45,False,,,,,,sedge fen,,
V206225,Limnanthes macounii Trel.,Limnanthes macounii Trel.,Macoun's meadow-foam; meadow-foam,Limnanthaceae,Limnanthes,macounii,Trel.,,,,,,,,,,Red,,BE070016, George Douglas; M. Fontaine; Jenifer Penny; Harvey Janszen,13272,1998-03-19,BS057937,British Columbia,,"Gabriola Island, Drumberg Provincial Park","Gabriola Island, South end , in Drumberg Provincial Park.",49.1333333333333,-123.683333333333,False,10U,5442401,449192,3 m (min.),,"On shallow soil over sandstone bedrock, in seepage area with Poa annua, Saxifraga integrifolia, Lithophragma parviflorum; aspect S14°W, slope 15%",Ca. 150-200 plants over 8 m squared,
V097469,Equisetum telmateia Ehrh.,Equisetum telmateia Ehrh.,giant horsetail; horsetail,Equisetaceae,Equisetum,telmateia,Ehrh.,,,,,,, Adolf Ceska,1981-01-01,,Not Listed,,BE030273, Harvey Janszen,109,1973-05-08,BS026419,British Columbia,,Saturna Island,,48,-123,False,,,,,,swamps,,
V104958,Equisetum hyemale L.,Equisetum hyemale L.,horsetail; scouring-rush,Equisetaceae,Equisetum,hyemale,L.,,,,,,, Adolf Ceska,1985-01-01,,Not Listed,,BE021064, Harvey Janszen,1114,1979-06-04,BS018240,British Columbia,,Mayne Island; Campbell Bay,Hillside above,,,False,,,,,,Sterile; wet forest; hillside.,,
V164875,Rosa eglanteria L.,Rosa eglanteria L.,rose; sweetbriar,Rosaceae,Rosa,eglanteria,L.,,,,,,, Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,BE012154, Harvey Janszen,1179,1979-06-08,BS010479,British Columbia,Gulf Islands,Galiano Island,section L-19,,,False,,,,,,waste ground,,
V098521,Elymus trachycaulus hybrid (Link) Gould ex Shinners ssp. subsecundus (Link) A. & D. Löve,Elymus trachycaulus hybrid (Link) Gould ex Shinners ssp. subsecundus (Link) A. & D. Löve,grass; slender wheatgrass,Poaceae,Elymus,trachycaulus hybrid,,subsecundus,(Link) A. & D. Löve,,,,, Mary Barkworth,1993-01-01,,Not Listed,Janszen 1979,BE030383, Harvey Janszen,1431,1979-07-25,BS026503,British Columbia,Gulf Islands,Saturna Island,Winter Cove,48.7833333333333,-123.15,False,,,,,,sandy bank; edge of salt marsh,,
V097782,Poa trivialis L.,Poa trivialis L.,grass; rough bluegrass,Poaceae,Poa,trivialis,L.,,,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1979,BE021046, Harvey Janszen,1079,1979-05-31,BS018223,British Columbia,Gulf Islands,Mayne Island,Mayne Island,48.85,-123.283333333333,False,,,,,,shady logging road; alder forest,,
V097561,Ranunculus occidentalis Nutt.,Ranunculus occidentalis Nutt.,buttercup; western buttercup,Ranunculaceae,Ranunculus,occidentalis,Nutt.,,,,,,, Margaret Heimburger,1980-11-17,,Not Listed,Janszen 1973,BE030355, Harvey Janszen,40,1973-05-06,BS026475,British Columbia,Gulf Islands,Saturna Island,,48.7833333333333,-123.15,False,,,,300 ft. (min.),,above cliffs and in natural meadows,,
V097971,Elymus glaucus Buckl. ssp. glaucus,Elymus glaucus Buckl. ssp. glaucus,blue wildrye; grass,Poaceae,Elymus,glaucus,,glaucus,,,,,, Mary Barkworth,1990-01-01,"IDD:  19900000; Barkworth from Intermountain Herbarium, Utah State University; loan # 1456",Not Listed,Janszen 1979,BE021033, Harvey Janszen,s.n.,1979-07-27,BS018211,British Columbia,Gulf Islands,Mayne Island,Camp Bay,48.85,-123.283333333333,False,,,,,,sand banks,,
V083196,Carex lenticularis Michx. var. lipocarpa (Holm) Standley,Carex lenticularis Michx. var. lipocarpa (Holm) Standley,Kellogg's sedge; sedge,Cyperaceae,Carex,lenticularis,,,,lipocarpa,(Holm) Standley,,, Adolf Ceska,2000-08-04,,Not Listed,Janszen 1975,BE020955, Harvey Janszen,656,1975-07-09,BS018155,British Columbia,,Mayne Island,,48,-123,False,,,,,,Wet boggy meadow.,,
V206515,Piperia maritima Rydb.,Piperia maritima Rydb.,orchid; seaside rein orchid,Orchidaceae,Piperia,maritima,Rydb.,,,,,,, Harvey Janszen,,Piperia maritima (Greene) Rydb. (= Piperia elegans (Lindl.) Rydb.),Not Listed,Janszen 1985,BE070225, Harvey Janszen,2416,1985-06-06,BS058114,British Columbia,,"Saturna Island, British Columbia","Saturna Island, East Point, 30 m SE of point, near shore trail",48.7855555555556,-123.036388888889,False,10U,540364,49670,4 m (min.),,"At edge of Rosa nutkana/Symphoricarpos albus thicket on dry, open conglomerate bluff at sea edge with Cladina sp.",4 plants observed in a small clump,
V206542,Carex utriculata Boott,Carex utriculata Boott,beaked sedge; sedge,Cyperaceae,Carex,utriculata,Boott,,,,,,, Frank Lomer,,,Not Listed,Janszen 1996,BE070245, Harvey Janszen; Jenifer Penny; Charlotte Norris,2451,1996-05-22,BS058134,British Columbia,,"Mayne Island, British Columbia","Mayne Island, Wilber's Bog",48.8491666666667,-123.273333333333,False,10U,54106,4798,45 m (min.),,"In marshy farm field dominated by Juncus effusus, Alopecurus geniculatus with Agrostis sp., Carex aurea & Ranunculus repens",Population of 500 plants,
V098627,Equisetum telmateia Ehrh.,Equisetum telmateia Ehrh.,giant horsetail; horsetail,Equisetaceae,Equisetum,telmateia,Ehrh.,,,,,,, Adolf Ceska,1981-01-01,,Not Listed,,BE024790, Harvey Janszen,1027,1979-04-20,BS021545,British Columbia,,North Pender Island,,,,False,,,,,,sedge fens; roadside ditches,,
V098009,Poa pratensis L. ssp. angustifolia (L.) Lej.,Poa pratensis L. ssp. angustifolia (L.) Lej.,grass; Kentucky bluegrass,Poaceae,Poa,pratensis,,angustifolia,(L.) Lej.,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1979,BE021045, Harvey Janszen,1074,1979-05-31,BS018223,British Columbia,Gulf Islands,Mayne Island,Mayne Island,48.85,-123.283333333333,False,,,,,,moist alder forest in shade,,
V097299,Poa pratensis L.,Poa pratensis L.,grass; Kentucky bluegrass,Poaceae,Poa,pratensis,L.,,,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1975,BE021048, Harvey Janszen,,1975-07-08,BS018224,British Columbia,Gulf Islands,Mayne Island,Mount Parker,48.85,-123.283333333333,False,,,,,,"Dry, open area.",,
V095472,Elymus glaucus Buckl. ssp. glaucus,Elymus glaucus Buckl. ssp. glaucus,blue wildrye; grass,Poaceae,Elymus,glaucus,,glaucus,,,,,, Mary Barkworth,1990-01-01,"IDD:  19900000; Barkworth from Intermountain Herbarium, Utah State University; loan #1458",Not Listed,Janszen 1974,BE030324, Harvey Janszen,369,1974-06-10,BS026448,British Columbia,Gulf Islands,Saturna Island,,48.7833333333333,-123.15,False,,,,,,meadow,,
V098629,Ranunculus occidentalis Nutt. var. occidentalis,Ranunculus occidentalis Nutt. var. occidentalis,buttercup; western buttercup,Ranunculaceae,Ranunculus,occidentalis,,,,occidentalis,,,, Margaret Heimburger,1981-07-06,,Not Listed,Janszen 1979,BE024797, Harvey Janszen,1000,1979-04-20,BS021552,British Columbia,Gulf Islands,North Pender Island,,48.7833333333333,-123.283333333333,False,,,,,,"seepage area, oaks bluff",,
V083298,Piperia elegans (Lindl.) Rydb.,Piperia elegans (Lindl.) Rydb.,elegant rein orchid; orchid,Orchidaceae,Piperia,elegans,(Lindl.) Rydb.,,,,,,, Heather Stewart,1999-11-01,,Yellow,Janszen 1975,BE012140, Harvey Janszen,748,1975-07-24,BS010465,British Columbia,Gulf Islands,Galiano Island,North end of island,48.9333333333333,-123.45,False,,,,,,"In moss-lichen mats just above high tide line, on dark, shady gulf side.",,
V097595,Rubus discolor Weihe & Nees,Rubus discolor Weihe & Nees,Himalayan blackberry; raspberry,Rosaceae,Rubus,discolor,Weihe & Nees,,,,,,, T. Brayshaw,1974-01-01,,Not Listed,Janszen 1973,BE030331, Harvey Janszen,213,1973-07-04,BS026453,British Columbia,Gulf Islands,Saturna Island,,48.7833333333333,-123.15,False,,,,,,most common blackberry on island; damp areas in fields & on hillsides,,
V206516,Sagina procumbens L.,Sagina procumbens L.,bird's-eye pearlwort; pearlwort,Caryophyllaceae,Sagina,procumbens,L.,,,,,,, Kendrick Marr,2011-04-13,,Not Listed,Jenszen 1995,BE070226, Harvey Janszen; Pam Janszen; M. Fontaine,2829,1995-07-19,BS058115,British Columbia,,"Texada Island, British Columbia","Texada Island, S end of isle at Upwood point, on E side of Whittaker bay.",49.4897222222222,-124.134444444444,False,10U,548252,41784,5-10 m,,In dry vernal pools on rocky headland; aspect S45°W,About 200 plants,
V206518,Torilis japonica (Houtt.) DC.,Torilis japonica (Houtt.) DC.,hedge-parsley; upright hedge-parsley,Apiaceae,Torilis,japonica,(Houtt.) DC.,,,,,,, Frank Lomer,,,Not Listed,Janszen 1997,BE070228, Harvey Janszen; Pam Janszen,2847,1997-08-20,BS058117,British Columbia,,"Texada Island, British Columbia","Texada Island, main road N of Vananda",49.7527777777778,-124.571666666667,False,10U,551296,38738,30 m (min.),,"On seepy roadside bank; aspect N40°E, slope 9%",Thousands of plants along weedy roadside and in motel yard,
V206530,Lemna minor L.,Lemna minor L.,common duckweed; duckweed,Lemnaceae,Lemna,minor,L.,,,,,,, Brenda Costanzo,2010-07-22,,Not Listed,Janszen 1996,BE070236, Harvey Janszen,2577A,1996-09-01,BS058125,British Columbia,,"Port Coquitlam, British Columbia","Port Coquitlam, Colony Farm",49.2277777777778,-122.810555555556,False,10U,545257,51379,2 m (min.),,Above weir of fresh water slough draining into river with Myriophyllum spicatum,,
V098649,Poa pratensis L.,Poa pratensis L.,grass; Kentucky bluegrass,Poaceae,Poa,pratensis,L.,,,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1979,BE029879, Harvey Janszen,1331,1979-07-07,BS026073,British Columbia,Gulf Islands,Saltspring Island; Booth Bay,Booth Canal,48.75,-123.483333333333,False,,,,,,mud salt flats,,
V097309,Poa pratensis L.,Poa pratensis L.,grass; Kentucky bluegrass,Poaceae,Poa,pratensis,L.,,,,,,, R. Soreng,1990-01-01,,Not Listed,Janszen 1975,BE020988, Harvey Janszen,s.n.,1975-05-29,BS018171,British Columbia,Gulf Islands,Mayne Island,,48.85,-123.283333333333,False,,,,,,dry exposed slopes,,
V097274,Poa confinis Vasey,Poa confinis Vasey,beach bluegrass; grass,Poaceae,Poa,confinis,Vasey,,,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1975,BE012310, Harvey Janszen,s.n.,1975-05-26,BS010624,British Columbia,,Georgeson Island,near Mayne Island,48.85,-123.233333333333,False,,,,,,grassy slope over rock,,
V095474,Poa pratensis L.,Poa pratensis L.,grass; Kentucky bluegrass,Poaceae,Poa,pratensis,L.,,,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1974,BE030327, Harvey Janszen,361,1974-06-10,BS026449,British Columbia,Gulf Islands,Saturna Island,,48.7833333333333,-123.15,False,,,,0 m (min.),,Meadow.,,
V083199,Stellaria crispa Cham. & Schlecht.,Stellaria crispa Cham. & Schlecht.,crisp starwort; starwort,Caryophyllaceae,Stellaria,crispa,Cham. & Schlecht.,,,,,,, Richard Rabeler,2001-01-01,IDD:  20010000; Rabeler is from the University of Michigan Herbarium,Not Listed,Janszen 1975,BE021008, Harvey Janszen,476,1975-05-28,BS018189,British Columbia,Gulf Islands,Mayne Island,,48.85,-123.283333333333,False,,,,,,roadside,,
V098006,Carex leptalea Wahlenb.,Carex leptalea Wahlenb.,bristle-stalked sedge; sedge,Cyperaceae,Carex,leptalea,Wahlenb.,,,,,,, Bruce Ford,2006-01-01,IDD:  20060000; Ford from Herbarium of the University of Manitoba (WIN),Not Listed,Janszen 1979,BE012105, Harvey Janszen,1318,1979-07-07,BS010432,British Columbia,Gulf Islands,Galiano Island,,48.9333333333333,-123.45,False,,,,,,on sphagnum bog,,
V098730,Juncus ensifolius Wikstr.,Juncus ensifolius Wikstr.,dagger-leaf rush; rush,Juncaceae,Juncus,ensifolius,Wikstr.,,,,,,,,,,Not Listed,,BE024809, Harvey Janszen,,1979-07-18,BS021564,British Columbia,Gulf Islands,North Pender Island,"Port Washington Road, Department ...",,,False,,,,,,,,
V098031,Equisetum arvense L.,Equisetum arvense L.,common horsetail; horsetail,Equisetaceae,Equisetum,arvense,L.,,,,,,, Adolf Ceska,1981-01-01,,Not Listed,,BE021029, Harvey Janszen,1051,1979-05-10,BS018207,British Columbia,,Mayne Island,Bennett Bay Road,,,False,,,,,,sterile,,
V098604,Equisetum arvense L.,Equisetum arvense L.,common horsetail; horsetail,Equisetaceae,Equisetum,arvense,L.,,,,,,, Adolf Ceska,1981-01-01,,Not Listed,,BE024789, Harvey Janszen,1013,1959-04-20,BS021545,British Columbia,,North Pender Island,,,,False,,,,,,fen,,
V097867,Poa trivialis L.,Poa trivialis L.,grass; rough bluegrass,Poaceae,Poa,trivialis,L.,,,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1979,BE012131, Harvey Janszen,1300,1979-06-28,BS010456,British Columbia,,Galiano Island,Galiano Island; sec-L-51,48.9333333333333,-123.45,False,,,,,,farm fields,,
V095476,Poa annua L.,Poa annua L.,annual bluegrass; grass,Poaceae,Poa,annua,L.,,,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1974,BE030304, Harvey Janszen,343,1974-06-10,BS026432,British Columbia,Gulf Islands,Saturna Island,,48.7833333333333,-123.15,False,,,,,,"garden, meadow & roadside",,
V097889,Luzula macrantha (S. Watson) Zika & B.L. Wilson,Luzula macrantha (S. Watson) Zika & B.L. Wilson,,Juncaceae,Luzula,macrantha,(S. Watson) Zika & B.L. Wilson,,,,,,, Peter Zika,2012-01-01,"P.F. Zika, 2012: Imm., poor coll., probably L. macrantha, need ripe fruit",,Janszen 1979,BE012176, Harvey Janszen,974,1979-03-31,BS010500,British Columbia,Gulf Islands,Galiano Island; Sutil Mountain,,48.8666666666667,-123.383333333333,False,,,,,,open grassy bluff,,
V078986,Grindelia stricta DC. var. stricta,Grindelia stricta DC. var. stricta,gumweed,Asteraceae,Grindelia,stricta,,,,stricta,,,, Meredith Lane,1993-06-01,"IDD:  19930600; Studies for the Jepson Manual revision (1993); M.A.L. of McGrego Herbarium, University of Kansas (KANU)",Not Listed,Janszen 1974,BE030389, Harvey Janszen,s.n.,1974-05-29,BS026509,British Columbia,,Saturna Island; Java Islets,,48,-123,False,,,,,,,,
V098028,Dactylis glomerata L.,Dactylis glomerata L.,grass; orchard-grass,Poaceae,Dactylis,glomerata,L.,,,,,,, Harvey Janszen,1979-01-01,,Not Listed,,BE021062, Harvey Janszen,1052,1979-05-10,BS018238,British Columbia,Gulf Islands,Mayne Island; Bennett Bay,,48.85,-123.233333333333,False,,,,,,roadside,,
V097539,Piperia unalascensis (Spreng.) Rydb.,Piperia unalascensis (Spreng.) Rydb.,Alaska rein orchid; orchid,Orchidaceae,Piperia,unalascensis,(Spreng.) Rydb.,,,,,,, Bruce Bennett,1992-01-01,,Not Listed,Janszen 1973,BE030339, Harvey Janszen,195,1973-07-04,BS026461,British Columbia,Gulf Islands,Saturna Island,,48.7833333333333,-123.15,False,,,,,,wet ground near ditch,,
V097966,Juncus ensifolius Wikstr.,Juncus ensifolius Wikstr.,dagger-leaf rush; rush,Juncaceae,Juncus,ensifolius,Wikstr.,,,,,,,,,,Not Listed,,BE021054, Harvey Janszen,,1979-07-27,BS018230,British Columbia,Gulf Islands,Mayne Island,Plauper Sound Road,,,False,,,,,,,,
V097861,Poa pratensis L.,Poa pratensis L.,grass; Kentucky bluegrass,Poaceae,Poa,pratensis,L.,,,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1979,BE012138, Harvey Janszen,1316,1979-07-07,BS010463,British Columbia,Gulf Islands,Galiano Island,N. Galiano,48.9333333333333,-123.45,False,,,,,,sphagnum bog,,
V098023,Botrychium silaifolium K.B. Presl,Botrychium silaifolium K.B. Presl,celery moonwort; fern,Ophioglossaceae,Botrychium,silaifolium,K.B. Presl,,,,,,, Adolf Ceska,2002-02-14,"Ceska, a member of the British Columbia Conservation Data Centre at this time (20020214)",Not Listed,Janszen 1979,BE021063, Harvey Janszen,1048,1979-05-10,BS018239,British Columbia,Gulf Islands,Mayne Island; Bennett Bay,,48.85,-123.233333333333,False,,,,,,"swale, roadside",,
V098038,Poa annua L.,Poa annua L.,annual bluegrass; grass,Poaceae,Poa,annua,L.,,,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1979,BE021059, Harvey Janszen,988,1979-04-06,BS018235,British Columbia,Gulf Islands,Mayne Island,Village Bay,48.85,-123.283333333333,False,,,,,,roadside and disturbed ground,,
V098020,Poa secunda J. Presl ssp. secunda,Poa secunda J. Presl ssp. secunda,grass; Sandberg's bluegrass,Poaceae,Poa,secunda,,secunda,,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1979,BE021034, Harvey Janszen,1034,1979-05-10,BS018212,British Columbia,Gulf Islands,Mayne Island,E of Heck Hill,48.85,-123.283333333333,False,,,,,,open bluff,,
V086267,Poa secunda J. Presl ssp. secunda,Poa secunda J. Presl ssp. secunda,grass; Sandberg's bluegrass,Poaceae,Poa,secunda,,secunda,,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1976,BE030380, Harvey Janszen,862,1976-06-04,BS026500,British Columbia,Gulf Islands,Saturna Island,peak N of Mt. Fisher,48.7833333333333,-123.2,False,,,,,,open; Racometrium canescens covered ridge,,
V097622,Erythranthe nasuta (Greene) Nesom,Erythranthe nasuta (Greene) Nesom,,Phrymaceae,Erythranthe,nasuta,(Greene) Nesom,,,,,,, Curtis Bjork,2015-03-01,,,Janszen 1973,BE030343, Harvey Janszen,135,1973-05-16,BS026465,British Columbia,Gulf Islands,Saturna Island,,48.7833333333333,-123.15,False,,,,,,dry bare open cliff,,
V083241,Juncus effusus L.,Juncus effusus L.,common rush; rush,Juncaceae,Juncus,effusus,L.,,,,,,,,,,Not Listed,,BE021057, Harvey Janszen,,1975-07-09,BS018233,British Columbia,Gulf Islands,Mayne Island,Village Bay,,,False,,,,,,,,
V097834,Juncus effusus L.,Juncus effusus L.,common rush; rush,Juncaceae,Juncus,effusus,L.,,,,,,,,,,Not Listed,,BE012142, Harvey Janszen,,1979-07-07,BS010467,British Columbia,Gulf Islands,Galiano Island,North Galiano Island,,,False,,,,,,,,
V097456,Eleocharis palustris (L.) Roem. & J.A. Schult.,Eleocharis palustris (L.) Roem. & J.A. Schult.,common spike-rush; spike-rush,Cyperaceae,Eleocharis,palustris,(L.) Roem. & J.A. Schult.,,,,,,, S. Smith,2001-01-01,"IDD:  20010000; S. Galen Smith was located at University of Wisconsin, Whitewater, working on a Flora of North America Project who states ""or E. macrostachya Britton""",Not Listed,Janszen 1973,BE030330, Harvey Janszen,266,1973-08-14,BS026452,British Columbia,Gulf Islands,Saturna Island,,48.7833333333333,-123.15,False,,,,,,in shallow lake,,
V097205,Poa compressa L.,Poa compressa L.,Canada bluegrass; grass,Poaceae,Poa,compressa,L.,,,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1975,BE030300, Harvey Janszen,s.n.,1975-01-01,BS026431,British Columbia,Gulf Islands,Saturna Island,,48.7833333333333,-123.083333333333,False,,,,,,"wet ground, near sedge swamp",,
V097832,Juncus tenuis Willd.,Juncus tenuis Willd.,rush; slender rush,Juncaceae,Juncus,tenuis,Willd.,,,,,,,,,,Not Listed,,BE012175, Harvey Janszen,,1979-07-09,BS010499,British Columbia,Gulf Islands,Galiano Island; Sturdies Bay,,,,False,,,,,,,,
