Accession Number,Verified,Missing Specimen,Family_Genus list::Family,Genus,Qualifier,Species,Authorship Reference::Species Author,Subspecies,Authorship Reference::Subspecies Author,Variety,Authorship Reference::Variety Author,Forma,Authorship Reference::Forma Author,Cultivar,Country,ProvinceState,Location,Geo_LatDegree,Geo_LatMinute,Geo_LatSecond,Geo_LongDegree,Geo_LongMinute,Geo_LongSecond,Geo_LatDecimal,Geo_LongDecimal,Geo_Datum,Geo_CoordinateUncertainty,Geo_Source,Geo_By,Geo_Date,Georeference Notes,UTM,Grid Reference,Habitat,Altitude,Date Collected,Primary Collector,Other Collectors,Collector Number,Determined By,Determination Date,Field Notes,Originally identified as,Annotation 1,Annotation 2,Annotation 3,More annotations,Original Herbarium,TypeStatus,Special,Research Annotation,Citations,Genbank,BOLD Number,Loan,Exchange,Curatorial Notes,Taxonomic Updates,Conservation Status,Imaged,Barcoded,Project ID,Funding Project,Reproductive Status,Reproductive Flex,Accession Number
V214104,,,Asteraceae,Gnaphalium,,purpureum,L.,,,,,,,,Canada,British Columbia,"Texada Island, off hardwood point, at northeast end of dick Island",49,39,,-124,28,,49.65,-124.466667,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,on grassy slopes above sea level,2 m,1997 Jun 19,Harvey Janszen,"P. Janszen, M. Fontaine",2644,Harvey Janszen,,"with Festuca rubra,Holcus lanatus & Aire sp.",,,,,,,,,,,,,,,,,,,,,,,,V214104
V214125,,,Poaceae,Vulpia,,myuros,(L.) C.C. Gmel.,,,,,,,,Canada,British Columbia,"Texada Island, off Harwood Point, at southeast end of Dick Isl.",49,39,,-124,28,,49.65,-124.466667,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,10U 39397 550095,,Just above sea level on SE slopes dominated by Bromus tectorum & Trifolium tridentatum.,2-5 m,1997 Jun 19,Harvey Janszen,"P. Janszen, M. Fontaine",2653,Harvey Janszen,,"Population of 1000+ pls. Slope: 10%, asp. 125°SE.  Also present Vulpia microstachys & Panicum oligosanthe.",,,,,,,,,,,,,,,,,,,,bnbgrass,,,,V214125
V214105,,,Asteraceae,Madia,,gracilis,(Sm.) D.D. Keck,,,,,,,,Canada,British Columbia,"Texada Island, off hardwood point at southeast end of dick Island",49,39,,-124,28,,49.65,-124.466667,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,just above sea level on se slopes dominated by Bromus tectorum & Trifolium tridentatum,2-5 m,1997 Jun 19,Harvey Janszen,"P. Janszen, M. Fontaine",2658B,,,,,,,,,,,,,,,,,,,,,,,,,,,V214105
V214127,9/9/2022,,Poaceae,Bromus,,tectorum,L.,,,,,,,,Canada,British Columbia,"Texada Island, off Hardwood Point, at southeast end of Dick Island.",49,39,,-124,28,,49.65,-124.466667,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,"Just above sea level on southeast slopes dominated by Bromus tectorum & Trifolium tridentatum; Slope 10%, aspect 125 degrees SE,with Panicum oligosanthe etc.",2-5 m,1997 Jun 19,Harvey Janszen,"P. Janszen, M. Fontaine",2659B,Harvey Janszen,1997,,Bromus tectorum by H. Janszen 1997,"! Jeffery M. Saarela 2007, Canadian Museum of Nature, National Herbarium of Canada (CAN)",,,,,,,,"This specimen is cited in: Saarela, J.M. 2008. Taxonomy of Bromus (Poaceae: Pooideae: Bromeae) sections Bromopsis, Bromus and Genea in British Columbia, Canada. Journal of the Botanical Research Institute of Texas 2(1): 323-372",,,,,,,,Yes,Yes,bnbgrass,,,,V214127
V214107,,,Ericaceae,Vaccinium,,sp.,,,,,,,,,Canada,British Columbia,"Texada Island, off hardwood point, on dick Island",49,39,,-124,28,,49.65,-124.466667,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,at edge of vernal pool on open rocky ridge,25 m,1997 Jun 19,Harvey Janszen,"P. Janszen, M. Fontaine",2664,Harvey Janszen,,dominated by Agostris exarata & Veronica scutellata,,,,,,,,,,,,,,,,,,,,,,,,V214107
V214431,,,Caryophyllaceae,Sagina,,decumbens,(Elliott) Torr. & A. Gray,occidentalis,(S. Watson) G.E. Crow,,,,,,Canada,British Columbia,"Texada Island, off hardwood point, on dick Island",49,39,,-124,28,,49.65,-124.466667,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,small tidal pool on open rocky point dominated by Spergularia marina,1 m,1997 Jun 19,Harvey Janszen,"P. Janszen, M. Fontaine",2665B,Frank Lomer,1999,,Spergularia marina by Harvey Janszen 1997,Sagina decumbens subsp. occidentalis Det. Frank Lomer 1999,STET Jamie D. Fenneman 2014,,,,,,,,,,,,,,,,Yes,decumbens,,,,V214431
V214668,,,Poaceae,Bromus,,vulgaris,(Hook.) Shear,,,,,,,,Canada,British Columbia,"Texada Island, West Hydro Station Road",49,37,,-124,24,,49.616667,-124.4,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,"in western hemlock/red alder stand; slope 5%, aspect 200 degrees south",85 m,1997 Jun 19,Harvey Janszen,"P. Janszen, M. Fontaine",2670,Harvey Janszen,1997,,Bromus vulgaris by H. Janszen 1997,"Bromus vulgaris Det. Jeffery M. Saarela 2007, Canadian Museum of Nature, National Herbarium of Canada (CAN)",,,,,,,,,,,,,,,,,,bnbgrass,,,,V214668
V214126,,,Poaceae,Danthonia,,californica,Bol.,,,,,,,,Canada,British Columbia,"Texada Island, west of hydro station road",49,36,,-124,24,,49.6,-124.4,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,in abandoned overgrown farm fields dominated by Bromus inermis,70 m,1997 Jun 19,Harvey Janszen,"P. Janszen, M. Fontaine",2673,Harvey Janszen,,"slope 10%,aspect 210 degrees south,with Danthonia spicata",,,,,,,,,,,,,,,,,,,,bnbgrass,,,,V214126
V214128,,,Cyperaceae,Carex,,feta,L.H. Bailey,,,,,,,,Canada,British Columbia,"Texada Island, 4 km south of mouat creek on west of hydro station road & 0.3km southwest overland",49,36,,-124,24,,49.6,-124.4,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,along streamlet in overgrown farm fields dominated by ALnus rubra etc.,70 m,1997 Jun 19,Harvey Janszen,"P. Janszen, M. Fontaine",2674,Harvey Janszen,,30 clumps;grass dominated parkland previously cleared & grazed,,,,,,,,,,,,,,,,,,,,,,,,V214128
V214130,,,Poaceae,Lolium,,arundinaceum,(Schreb.) Darbysh.,,,,,,,,Canada,British Columbia,"Texada Island, 4 km south of mouat creek on west of hydro station road & 0.3 km southwest overland",49,36,,-124,24,,49.6,-124.4,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,"in abandoned,overgrown farm fields dominated by Bromus inermis",70 m,1997 Jun 19,Harvey Janszen,"P. Janszen, M. Fontaine",2675,Harvey Janszen; S.J. Darbyshire 2004,,"Originally labelled Bromus inermis. Grass dominated parkland previously cleared & grazed,slope 10%,aspect 210 degree south.",,,,,,,,,,,,,,,,,,,,bnbgrass,,,,V214130
V214132,,,Poaceae,Danthonia,,spicata,(L.) P. Beauv. ex Roem. & Schult.,,,,,,,,Canada,British Columbia,"Texada Island, 4 km south of mouat creek on west of hydro station road & 0.3km southwest overland",49,36,,-124,24,,49.6,-124.4,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,"in abandoned,overgrown farm fields",70 m,1997 Jun 19,Harvey Janszen,"P. Janszen, M. Fontaine",2678,Harvey Janszen,,"slope 10%,aspect 210 degrees south",,,,,,,,,,,,,,,,,,,,bnbgrass,,,,V214132
V214102,,,Asteraceae,Eriophyllum,,lanatum,(Pursh) J. Forbes,,,,,,,,Canada,British Columbia,"Texada Island, west of hydro station",49,35,,-124,21,,49.583333,-124.35,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,on dry rocky fill dominated by Vicia hirsuta & Trifolium dubium,2 m,1997 Jun 19,Harvey Janszen,"P. Janszen, M. Fontaine",2681,Harvey Janszen,,,,,,,,,,,,,,,,,,,,,,,,,,V214102
V214134,,,Poaceae,Danthonia,,californica,Bol.,,,,,,,,Canada,British Columbia,"Texada Island, west of hydro station transmission line cut",49,35,,-124,21,,49.583333,-124.35,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,in cleared area under hydro transmission lines,40 m,1997 Jun 19,Harvey Janszen,"P. Janszen, M. Fontaine",2682,Harvey Janszen,,"slope 50%,aspect 220 degress sw",,,,,,,,,,,,,,,,,,,,bnbgrass,,,,V214134
V214131,,,Poaceae,Bromus,,carinatus,Hook. & Arn.,,,,,,,,Canada,British Columbia,"Texada Island, west of hydro station transmission line cut",49,35,,-124,21,,49.583333,-124.35,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,in cleared area under hydro transmission lines dominated by Mahonia aquilifolium & Rubus ursinus,40 m,1997 Jun 19,Harvey Janszen,"P. Janszen, M. Fontaine",2684,Harvey Janszen,,"slope 50%,asp.229 degree sw with Rubus ursinus etc.",,,,,,,,,,,,,,,,,,,,bnbgrass,,,,V214131
V214122,,,Asteraceae,Packera,,macounii,(Greene) W.A. Weber & A. Love,,,,,,,,Canada,British Columbia,"Texada Island, West Hydro Station, Transmission Line Cut",49,35,,-124,21,,49.583333,-124.35,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,10U 40188 549399,,"In cleared area under hydro transmission lines dominated by Mahonia aquilifolium & Rubus ursinus; slope 50%, asp.220 degrees southwest with Rubus ursinus, Danthonia spicata, Festuca rubra, Senecio macounii",40 m,1997 Jun 19,Harvey Janszen,"P. Janszen, M. Fontaine",2685,Harvey Janszen,1997,British Columbia Conservation Data Centre,Senecio macounii by Harvey Janszen 1997,,,,,,,,CCDB-23364-F08 DNA Barcode of Life: Tissue sampled by the Biodiversity Institute of Ontario BIOUG 2014,,,CCDB-23364-F08,,,,Senecio macounii = Packera macounii,,Yes,,,,,,V214122
V214121,,,Apocynaceae,Apocynum,,androsaemifolium,L.,,,,,,,,Canada,British Columbia,"Texada Island, Gillies Bay road, 5.4.km  southeast of vananda",49,43,,-124,31,,49.716667,-124.516667,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,On moss covered limestone ridge in very dry Pseudotsuga/Pinus contorta stand,110 m,1997 Jun 19,Harvey Janszen,"P. Janszen, M. Fontaine",2693,Harvey Janszen,1997,dominated by Symphoricarpos albus & Rosa gymnocarpa,Apocynum androsaemifolium by Harvey Janszen 1997,,,,,,,,Leaf material sampled in 2013 by Leo K. Leung for herbarium DNA barcoding by Erin R. Manton (University of British Columbia),,,,,,,,,Yes,Yes,ERTissue3,,,,V214121
V214135,,,Asteraceae,Packera,,macounii,(Greene) W.A. Weber & A. Love,,,,,,,,Canada,British Columbia,"Texada Island, Gillies Bay road, 5.4km southeast of Vananda",49,43,,-124,31,,49.716667,-124.516667,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,10U 39021 550882,,"on moss covered linmestone ridge in very dry Pseudotsuga menziesii/Pinus contorta stand, with Festuca occidentalis; slope 5%,aspect 195 degrees south.",110 m,1997 Jun 20,Harvey Janszen,"P. Janszen, M. Fontaine",2694,Harvey Janszen,1997,population of 100 plants; British Columbia Conservation Data Centre.,Senecio macounii by Harvey Janszen 1997,,,,,,,,CCDB-23364-H08 DNA Barcode of Life: Tissue sampled by the Biodiversity Institute of Ontario BIOUG 2014,,,CCDB-23364-H08,,,,Senecio macounii = Packera macounii,,Yes,,,,,,V214135
V214140,,,Caryophyllaceae,Minuartia,,tenella,(J. Gay) Mattf.,,,,,,,,Canada,British Columbia,"Texada Island, gillies bay road, 5.4km  southeast of vananda",49,43,,-124,31,,49.716667,-124.516667,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,"on dry,moss covered limestone dome|",110 m,1997 Jun 20,Harvey Janszen,"P. Janszen, M. Fontaine",2701,Harvey Janszen,1997,,Minuartia tenella by Harvey Janszen 1997,Stet Jamie D Fenneman 2013,,,,,,,,,,,,,,,,,,,,,,V214140
V214694,,,Asteraceae,Erigeron,,philadelphicus,L.labellus,,,,,,,,Canada,British Columbia,"Grilse Point, Texada Island",49,48,,-124,36,,49.8,-124.6,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,"vernal pools,in abandoned limestone quarries",3 m,1997 Jun 20,Harvey Janszen,"P. Janszen, M. Fontaine",2710B,Harvey Janszen,,,,,,,,,,,,,,,,,,,,,,,,,,V214694
V214137,,,Asteraceae,Packera,,macounii,(Greene) W.A. Weber & A. Love,,,,,,,,Canada,British Columbia,"Texada Island, Grilse Point",49,48,,-124,36,,49.8,-124.6,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,10U 38444 551768,,"In open areas,on roads & walls of abandoned limestone quarries with Holcus lanatus & Festuca rubra",5-15 m,1997 Jun 20,Harvey Janszen,"P. Janszen, M. Fontaine",2714A,Harvey Janszen,1997,British Columbia Conservation Data Centre; population of 40 plants,Senecio macounii by Harvey Janszen 1997,,,,,,,,CCDB-23364-G08 DNA Barcode of Life: Tissue sampled by the Biodiversity Institute of Ontario BIOUG 2014,,,CCDB-23364-G08,,,,Senecio macounii = Packera macounii,,Yes,,,,,,V214137
V214111,11/25/2022,,Asteraceae,Centaurea,cf.,diffusa,Lam.,,,,,,,,Canada,British Columbia,"Texada Island, grise point",49,48,,-124,36,,49.8,-124.6,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,"in open areas,on roads & walls of abandoned limestone quarries with Holcus lanatus & Festuca rubra",3 m,1997 Jun 20,Harvey Janszen,"P. Janszen, M. Fontaine",2714B,Harvey Janszen,,population of 10+,,"too immature for determination
Centaurea cf. diffusa Lamarck, AAFC Invasive Alien Plants of Canada Project, Identified by / Identife par P.M. Catling - 2016, Herbier - DAO - Herbarium",,,,British Columbia Conservation Data Centre,,,,,,,"Returned
on loan to DAO, Jan 2007 (UBC-2007-V1), returned 2022 Oct",,Stamped “DAO Database” during loan by mistake,,,,Yes,,,,,V214111
V214114,,,Anacardiaceae,Rhus,,diversiloba,Torr. & A. Gray,,,,,,,,Canada,British Columbia,"Texada Island, treat pt. northeast side of Blubber Bay",49,48,,-124,36,,49.8,-124.6,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,along road growing against a cut limestone face,3 m,1997 Jun 20,Harvey Janszen,"P. Janszen, M. Fontaine",2715,Harvey Janszen,,"with Lonicera hispidula,ca.20m.in from shoreline,asp.n56w",,,,,,,,,,,,,,,,,,,,,,,,V214114
V214118,,,Orchidaceae,Platanthera,,dilatata,(Pursh) Lindl. ex L.C. Beck,,,dilatata,,,,,Canada,British Columbia,"Powell River Regional District, Texada Island, Gillies Bay Road, 5.4 km southeast of Vananda",49,43,,-124,31,,49.716667,-124.516667,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,38998 E 550888 N zone 10,,"In seepy roadside ditch, limestone.",110 m,1997 Jun 20,Harvey Janszen,"P. Janszen, M. Fontaine",2718,Harvey Janszen,,Ex: British Columbia Conservation Data Centre.,,,,,,,,,,,,,,,,,,,,,,,,V214118
V214115,,,Asteraceae,Artemisia,,suksdorfii,Piper,,,,,,,,Canada,British Columbia,"Texada Island, south slope of surprise Mountain",49,43,,-124,34,,49.716667,-124.566667,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,10U 38603 550868,,on talus slope dominated by Koeleria macrantha with Aspidotus densa,300 m,1997 Jun 21,Harvey Janszen,"P. Janszen, M. Fontaine",2719,Harvey Janszen,1997,"slope 80%, aspect 210s; Conservation Data Centre",Artemisia suksdorfii by Harvey Janszen 1997,"Artemisia suksdorfii Con. Curtis R. Bjork 2011, University of British Columbia",,,,,,,,,,,,,,,,,,,,,,V214115
V214116,,,Asteraceae,Agoseris,,heterophylla,(Nutt.) Greene,,,,,,,,Canada,British Columbia,"Texada Island, south slope of surprise Mountain",49,43,,-124,35,,49.716667,-124.583333,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,"on steep,open rock outcrop by Koeleria macrantha & Carex inops",325 m,1997 Jun 21,Harvey Janszen,"P. Janszen, M. Fontaine",2732,Harvey Janszen,,"population of 500+, slope 30-60%, aspect 210s",,,,,,,,,,,,,,,,,,,,,,,,V214116
V214151,,,Asteraceae,Agoseris,,grandiflora,(Nutt.) Greene,,,,,,,,Canada,British Columbia,"Texada Island, south slope of surprise Mountain",49,43,,-124,35,,49.716667,-124.583333,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,"on steep,open rock outcrop with areas of shallow soil",325 m,1997 Jun 21,Harvey Janszen,"P. Janszen, M. Fontaine",2733,Harvey Janszen,,"slope 30-60%, aspect 210 degrees south",,,,,,,,,,,,,,,,,,,,,,,,V214151
V214152,,,Ericaceae,Chimaphila,,umbellata,(L.) W.P.C. Barton,,,,,,,,Canada,British Columbia,"Texada Island, summit of surprise Mountain",49,43,,-124,35,,49.716667,-124.583333,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,on rocky summit ridge,340 m,1997 Jun 21,Harvey Janszen,"P. Janszen, M. Fontaine",2735,Harvey Janszen,,slope 10%,,,,,,,,,,,,,,,,,,,,,,,,V214152
V214158,,,Asteraceae,Erigeron,,flagellaris,A. Gray,,,,,,,,Canada,British Columbia,"Texada Island, south slope of west peak of surprise Mt.",49,43,,-124,35,,49.716667,-124.583333,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,"on steep,open rock outcrop & talus/areas of shallow soil among Koeleria macrantha & Trifolium tridentatum",325 m,1997 Jun 21,Harvey Janszen,"P. Janszen, M. Fontaine",2740,,,"1000+spread on south & se face of west peak;slope 60%,asp.150 degrees se,w/Aspidotus densa & Epilobium munitum",,,,,,,,,,,,,,,,,,,,,,,,V214158
V214139,,,Campanulaceae,Legousia,,perfoliata,(L.) Britton,,,,,,,,Canada,British Columbia,"Texada Island, south slope of west peak of surprise Mt.",49,43,,-124,35,,49.716667,-124.583333,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,"on steep rock outcrop,on shallow seepy soil",330 m,1997 Jun 21,Harvey Janszen,"P. Janszen, M. Fontaine",2747,Harvey Janszen,,"slope 60%,aspect 150 degrees se",,,,,,,,,,,,,,,,,,,,,,,,V214139
V214204,,,Poaceae,Distichlis,,spicata,(L.) Greene,,,spicata,,,,,Canada,British Columbia,Texada Island tidal sand flats in gillies bay,49,40,,-124,29,,49.666667,-124.483333,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,tidal sand flats,0 m,1997 Jun 22,Harvey Janszen,"P. Janszen, M. Fontaine",2750,Jeffery M. Saarela 2005,,"dominated by Salicornia virginica,Distichlis spicata & Puccinellia nutkaensis.
Originally identified as Distichlis spicata Det. H. Janszen 1997.
Annotations:
Distichlis spicata var. spicata Det. Jeffery M. Saarela 2005, University of British Columbia Herbarium.",,,,,,,,,,,,,,,,,,,,bnbgrass,,,,V214204
V214205,,,Caryophyllaceae,Spergularia,,canadensis,(Pers.) G. Don,,,occidentalis,R. Rossbach,,,,Canada,British Columbia,"Texada Island, tidal sand flats in Gillies Bay",,,,,,,,,,,,,,,,,Tidal sand flats dominated by Salicornia spicita & Puccinellia nutkaensis,0 m,1997 Jun 22,Harvey Janszen,"P. Janszen, M. Fontaine",2752,Jamie D. Fenneman,2014,,Spergularia marina by Harvey Janszen 1997,"Spergularia canadensis var. occidentalis Det. Jamie D. Fenneman 2014, University of British Columbia Herbarium ",,,,British Columbia Conservation Data Centre,,,,,,,,,,,,,Yes,SPER,,,,V214205
V214196,,,Cyperaceae,Schoenoplectus,,pungens,(Vahl) Palla,,,,,,,,Canada,British Columbia,"Texada Island, tidal sand flats in Gillies Bay",49,40,,-124,29,,49.666667,-124.483333,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,tidal sand flats dominated by other plants,0 m,1997 Jun 22,Harvey Janszen,"P. Janszen, M. Fontaine",2754,Harvey Janszen,1997,10 square meters; Larger stands along rocky shore to the west; With Plantago maritima & Glaux maritima,Scirpus americanus by H. Janszen 1997,"= Schoenoplectus pungens Det. Frank Lomer 2012, University of British Columbia Herbarium",,,,,,,,,,,,,,,,,,,,,,V214196
V214169,,,Cyperaceae,Bolboschoenus,,maritimus,(L.) Palla,paludosus,(A. Nelson) T. Koyama,,,,,,Canada,British Columbia,"Texada Island, Gillies Bay, tidal sand flats",49,40,44,-124,28,49,49.678889,-124.480278,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,"on tidal sand flats,",0 m,1997 Jun 22,Harvey Janszen,"P. Janszen, M. Fontaine",2755A,Harvey Janszen,,,,,,,,,,,,,,,,,,Scirpus maritimus var. paludosus = Bolboschoenus maritimus subsp. paludosus,,,,,,,,V214169
V214194,,,Cyperaceae,Carex,,lyngbyei,Hornem.,,,,,,,,Canada,British Columbia,"Texada Island, tidal slough in gillies bay",49,40,,-124,29,,49.666667,-124.483333,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,sandy banks of tidal creek dominated by Carex lyngbyei,1 m,1997 Jun 22,Harvey Janszen,"P. Janszen, M. Fontaine",2756A,Harvey Janszen,,,,,,,,,,,,,,,,,,,,,,,,,,V214194
