Accession Number,Verified,Missing Specimen,Family_Genus list::Family,Genus,Qualifier,Species,Authorship Reference::Species Author,Subspecies,Authorship Reference::Subspecies Author,Variety,Authorship Reference::Variety Author,Forma,Authorship Reference::Forma Author,Cultivar,Country,ProvinceState,Location,Geo_LatDegree,Geo_LatMinute,Geo_LatSecond,Geo_LongDegree,Geo_LongMinute,Geo_LongSecond,Geo_LatDecimal,Geo_LongDecimal,Geo_Datum,Geo_CoordinateUncertainty,Geo_Source,Geo_By,Geo_Date,Georeference Notes,UTM,Grid Reference,Habitat,Altitude,Date Collected,Primary Collector,Other Collectors,Collector Number,Determined By,Determination Date,Field Notes,Originally identified as,Annotation 1,Annotation 2,Annotation 3,More annotations,Original Herbarium,TypeStatus,Special,Research Annotation,Citations,Genbank,BOLD Number,Loan,Exchange,Curatorial Notes,Taxonomic Updates,Conservation Status,Imaged,Barcoded,Project ID,Funding Project,Reproductive Status,Reproductive Flex,Accession Number
V219497,,,Amaranthaceae,Salicornia,,virginica,Forssk.,,,,,,,,Canada,British Columbia,"Gulf Islands, Sidney Island",48,37,0,-123,18,0,48.616667,-123.3,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,,,1982 Jun 26,Adolf Ceska,"Robert T. Ogilvie, Harvey Janszen",11681,Adolf Ceska 2000,,"Ex: Royal British Columbia Museum, Victoria",,,,,,,,,,,,,,,,,,,,,,,,V219497
V221007,,,Caryophyllaceae,Spergularia,,canadensis,(Pers.) G. Don,,,occidentalis,R. Rossbach,,,,Canada,British Columbia,"Capital Regional District, Sidney Island",48,37,,-123,18,,48.616667,-123.3,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,,,1982 Jun 26,Adolf Ceska,"Robert T. Ogilvie, Harvey Janszen",11682,Frank Lomer ,2005,,Spergularia macrotheca by Adolf Ceska 2001,"Spergularia canadensis var. occidentalis Det. Frank Lomer 2005, University of British Columbia Herbarium (UBC)",,,,"Royal British Columbia Museum, Victoria, B.C. Accession No. V183004",,,,,,,,,,,,,Yes,SPER EST,,,,V221007
V215686,,,Isoetaceae,Isoetes,,echinospora,Durieu,,,,,,,,Canada,British Columbia,"Texada Island, 0.5 m underwater on the north end of Angel Lake by the camping area. On plateau approximately 22km south of Gillies Bay. Elevation 622m.",,,,,,,,,,,,,,,10U 5491N 4104E,,,650 m,1999 Jun 04,Patrick Williston,"Harvey Janszen, Pam Janszen",2365,P. Williston,,,,,,,,,,,CCDB-24915-D09 DNA Barcode of Life: Tissue sampled by the Biodiversity Institute of Ontario BIOUG 2014,,,CCDB-24915-D09,,,,,,Yes,,,,,,V215686
V215684,11/29/2019,,Polygalaceae,Polygala,,vulgaris,L.,,,,,,,,Canada,British Columbia,"Texada Island, 1km east of East/West Hydro Station Road junction on west fork at the entrance to a farmer's field. About 10km south of Gillies Bay.",49,38,,-124,25,,49.633333,-124.416667,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,,,1999 Jun 05,Patrick Williston,Harvey Janszen,2374,Frank Lomer,1999,,Polygala serpyllifolia Det. Harvey Janszen 1999,"Polygala vulgaris Det. Frank Lomer 1999 Oct 08, University of British Columbia Herbarium",! P Williston 1999 Oct 26,,,,,,,,,,,,,,,,,,,,,V215684
V215685,,,Lentibulariaceae,Utricularia,,vulgaris,L.,,,,,,,,Canada,British Columbia,"Texada Island,  At the junction of the Anderson Bay Road and the gas pipeline in pond by the edge of the pipeline cut.  On plateau approximately 25km south of Gillies Bay. Elevation 622m.",,,,,,,,,,,,,,,10U 5494610N 10U407750E,,,650 m,1999 Jun 05,Patrick Williston,"Harvey Janszen, Pam Janszen",2378,P. Williston,,,,,,,,,,,,,,,,,,,,,,,,,,V215685
V215682,,,Isoetaceae,Isoetes,,echinospora,Durieu,,,,,,,,Canada,British Columbia,"Texada Island, 0.5 m underwater on the west margin of Bob's Lake at the Forest Recreation Site, on plateau approximately 20 km south of Gillies Bay",,,,,,,,,,,,,,,10U 5492126N 410406E,,,622 m,1999 Jun 05,Patrick Williston,"Harvey Janszen, Pam Janszen",2381,Patrick Williston,1999,,Isoetes echinospora by Patrick Williston 1999,,,,,,,,,,,,"Returned
On loan as class material - Returned 2016 May",,,,,,,,,,,V215682
V215687,,,Isoetaceae,Isoetes,,maritima,Underw.,,,,,,,,Canada,British Columbia,"Texada Island, 0.5 m underwater on the west margin of Bob's Lake at the Forest Recreation Site. On plateau approximately 20km south of Gillies Bay. Elevation 622m.",,,,,,,,,,,,,,,10U 5492126N 10U410406E,,,622 m,1999 Jun 05,Patrick Williston,"Harvey Janszen, Pam Janszen",2382,P. Williston,,,,,,,,,,,,,,,,,,,,,,,,,,V215687
V215335,,,Cyperaceae,Carex,,cusickii,Mack. ex Piper & Beattie,,,,,,,,Canada,British Columbia,"gulf Islands, mayne Island 92 b-14",48,50,26,-123,16,8,48.840556,-123.268889,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,marshy farm field,40 m,1996 May 22,Harvey Janszen,"Jennifer L. Penny, C. Norris",2448,Harvey Janszen,,,,,,,,,,,,,,,,,,,,,,,,,,V215335
V215296,,,Cyperaceae,Carex,,sitchensis,J.D. Prescott ex Bong.,,,,,,,,Canada,British Columbia,"Langley, Latimer Pond, 92 g-2",49,3,,-122,41,,49.05,-122.683333,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,sandy lake shore,75 m,1996 Jul 20,Harvey Janszen,,2473a,Harvey Janszen,,,,,,,,,,,,,,,,,,,,,,,,,,V215296
V214221,,,Asteraceae,Packera,,indecora,(Greene) A. Love & D. Love,,,,,,,,Canada,British Columbia,"Texada Island, Bob's Lake",49,36,12,-124,17,24,49.603333,-124.29,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,"boggy meadow dominated by Ledum groelandicum, Sphagnum spp., Cladina sp. with Juncus falcatus; with Hypericum anagalloides",660 m,1996 Aug 09,Harvey Janszen,,2554,D.K. Trock,2008,British Columbia Conservation Data Centre; Population of 30 plants,Senecio pauperculus by George W. Douglas 1993,Packera indecora Det. D.K. Trock 2008,,,,,,,,,,,,,,,,,,,,,,V214221
