area,Family,TaxonName,iNatTaxon,HJ_comment,FPNW_note,critical_comments,reviewed,review_status,Name.Status,Referred.iNaturalist.Id,Referred.iNaturalist.Name,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety
ogi,Alismataceae,Alisma lanceolatum,,NA,,"added by AS, based on Pender Island iNat observation; reports of Alisma gramineum may refer to A. lanceolatum (see Saanich list)","AS, AW, FL",complete,accepted,71065,Alisma lanceolatum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Alismataceae,,,Alisma,lanceolatum,,
ogi,Amaranthaceae,Amaranthus albus,Amaranthus albus,"HJ Otter Bay, N Pender 1982. Foulkes Village Bay, Mayne 1926, HJ Village Bay 1980. Records at V and CPNWH appear as both albus and blitoides. (?)",,"HJ material from Southern Gulf Islands, Amaranthus graecizans (misapplied); Specimens positively determined as A. albus by Mihai Costea, who has published extensively on Amaranthus (AS); the genus level taxonomy that Mihai provided you is current, and most of the taxa on the list do occur in the area of interest. (DG)","AS, DG, FL",complete,accepted,57893,Amaranthus albus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Amaranthoideae,,Amaranthus,albus,,
ogi,Amaranthaceae,Amaranthus blitoides,Amaranthus blitoides,Miner's Bay HJ 1980 Otter Bay HJ 1982. M Foulks Mayne 1926.HJ old dump Saturna 2020.,,"Specimens positively determined as A. blitoides by Mihai Costea, who has published extensively on Amaranthus (AS); the genus level taxonomy that Mihai has provided is current, and most of the taxa on the list do occur in the area of interest. (DG)","AS, DG",complete,accepted,58774,Amaranthus blitoides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Amaranthoideae,,Amaranthus,blitoides,,
ogi,Amaranthaceae,Amaranthus powellii,Amaranthus powellii,"Gardens, waste ground. All islands.",,"HJ material from Southern Gulf Islands positively determined by Mihai Costea, who has published extensively on Amaranthus (AS)","AS, DG",complete,accepted,75398,Amaranthus powellii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Amaranthoideae,,Amaranthus,powellii,,
ogi,Amaranthaceae,Amaranthus retroflexus,Amaranthus retroflexus,"Gardens, waste ground. All islands.",,"HJ material from Southern Gulf Islands positively determined by Mihai Costea, who has published extensively on Amaranthus (AS)","AS, DG",complete,accepted,58776,Amaranthus retroflexus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Amaranthoideae,,Amaranthus,retroflexus,,
ogi,Amaranthaceae,Atriplex dioica,Atriplex dioica,"TRA N Pender 1957, Sczcawinski S Pender 1955.",,"Harvey doesn't recognize Atriplex patula in OGI, Saanich or SSI; synonymizes A. prostrata with A. patula var. hastata (which he only recognizes in SJIs) that Harvey recognized Atriplex dioica but not A. patula in his revised flora suggests to me that he had come to recognize A. dioica as a common species to which the name Atriplex patula may have historically been misapplied? (AS); A. patula is a Eurasian weed and probably based on old taxonomy.  I would not trust it without a verifying specimen; Atriplex dioica is in for sure.  It is the common native on sea beaches in the whole range. (FL)","AS, FL",complete,accepted,75701,Atriplex dioica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Atripliceae,Atriplex,dioica,,
ogi,Amaranthaceae,Atriplex gmelinii,Atriplex gmelinii,Strand and mudflats. All islands. Including A. prostrata = A. patula var hastata,,"Harvey synonymizes A. gmelinii with A. patula var. obtusa or zosterifolia; the only records from south coast of BC have dated annotations (AS); Atriplex gmelinii is perhaps doubtful, it is not often found here, but certainly possible; A. prostrata is a beach plant with triangular leaves and rather frequent so should be there. (FL)","AS, FL",complete,accepted,75705,Atriplex gmelinii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Atripliceae,Atriplex,gmelinii,,
ogi,Amaranthaceae,Atriplex prostrata,Atriplex gmelinii,NA,,A. prostrata is a beach plant with triangular leaves and rather frequent so should be there. (FL),"AS, FL",complete,accepted,60176,Atriplex prostrata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Atripliceae,Atriplex,prostrata,,
ogi,Amaranthaceae,Chenopodium album,Chenopodium album,Gardens and waste places. All islands.,,species you show are correct and present in the area (DG); Chenopodium probstii (syn. Chenopodium album var. album?) reportedly non-established in BC; remove?,"AS, DG",in progress,accepted,58127,Chenopodium album,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Chenopodieae,Chenopodium,album,,
ogi,Amaranthaceae,Oxybasis rubra var. humilis,Oxybasis rubra humilis,"Salt marshes, Saturna, Tumbo, S Pender.",,Species you show are correct and present in the area (DG) ,"DG, PD",complete,accepted,931680,Oxybasis rubra humilis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Atripliceae,Oxybasis,rubra,,Oxybasis rubra humilis
