area,Family,TaxonName,iNatTaxon,HJ_comment,FPNW_note,critical_comments,reviewed,review_status,Name.Status,Referred.iNaturalist.Id,Referred.iNaturalist.Name,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety
ogi,Amaranthaceae,Salicornia depressa,Salicornia depressa,"Bennett Wise Island 2001. Lamb and Gibbs Galiano location? iNaturalist report Mortimer Spit, N Pender 2017.",,Also on Prevost (HJ7 obs),"AS, DG",complete,accepted,78930,Salicornia depressa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Salicornioideae,Salicornieae,Salicornia,depressa,,
ogi,Amaranthaceae,Salicornia pacifica,Salicornia pacifica,"Mud flats, salt marshes and beaches. All islands.","recorded by HJ: ‘Salicornia pacifica’; “FPNW2 appears to be following FNA (2003) which reports Sarcocornia perennis (prostrate, with woody stems readily rooting in the substrate) from BC and S. pacifica (procumbent to erect shrubs in which woody stems usually do not root) to include east coast of North America (New Hampshire south to Florida) , California and Mexico, but NOT BC. http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=129207; VASCAN has updated their names to Salicornia pacifica following a more recent treatment by Piirainen et al. 2017 that proposes a new infrageneric classification for Salicornia (incl. Sarcocornia) and shows Salicornia pacifica present in BC.Salicornia perennis is excluded. http://data.canadensys.net/vascan/search?q=sarcocorniaSo, you could move ahead of the pack and call your material Salicornia pacifica Standley sensu Piirianen et al. 2017 OR you could use the synonym Sarcocornia pacifica. I’ll propose the name change (Sarcocornia pacifica to Salicornia pacifica) for fall review, but it would not show up in Species Explorer/E-Flora until next year.” –MD",=Salicornia pacifica,"AS, DG, MD ",in progress,accepted,78931,Salicornia pacifica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Salicornioideae,Salicornieae,Salicornia,pacifica,,
ogi,Amaryllidaceae,Allium acuminatum,Allium acuminatum,"Grassy, south facing bluffs. All islands.",,,AS,complete,accepted,59782,Allium acuminatum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Allioideae,Allieae,Allium,acuminatum,,
ogi,Amaryllidaceae,Allium amplectens,Allium amplectens,"Saturna, Samuel, Mayne, Galiano, North Pender. Grassy ledges, sometimes with vernal seepage. All known popuations consist of several hundred plants in very small area with no apparent spreading to nearby similar habitat. Several populations just above high tide line in Active Pass.",,,AS,complete,accepted,60267,Allium amplectens,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Allioideae,Allieae,Allium,amplectens,,
ogi,Amaryllidaceae,Allium cernuum,Allium cernuum,"South facing bluffs, dry ridges throughout, all islands.",,,AS,complete,accepted,116364,Allium cernuum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Allioideae,Allieae,Allium,cernuum,,
ogi,Amaryllidaceae,Allium geyeri var. tenerum,Allium geyeri tenerum,"Owl Island near Prevost Island. Rock Outcrop. 8 clumps in two spots at one site only with Grindelia stricta, rocky point near saltspray zone. Sinclair, MD, FL.",,,AS,complete,accepted,239144,Allium geyeri tenerum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Allioideae,Allieae,Allium,geyeri,,Allium geyeri tenerum
ogi,Amaryllidaceae,Allium vineale,Allium vineale,Meadows and old fields occasional escape. Mayne and Galiano.,,"Allium vineale is a rapidly spreading weed occurring in many places in the Victoria area, including parks like Uplands, Chinese Cemetery, Trafalgar, and along roads, boulevards and lawns. (MF)","MF, AS",complete,accepted,75371,Allium vineale,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Allioideae,Allieae,Allium,vineale,,
ogi,Amaryllidaceae,Narcissus pseudonarcissus,Narcissus pseudonarcissus,Persisting from cultivation,,"Retain as adventive on separate list? Otherwise add to the list for the Saanich Peninsula, where it also known (AS); Should we also include Narcissus poeticus (Frank Lomer, Sidney BC, V253388; see also Peter Dunwiddie, Patos Island, WA), which is reported for the region? (AS)",AS,in progress,accepted,55848,Narcissus pseudonarcissus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Amaryllidoideae,Narcisseae,Narcissus,pseudonarcissus,,
ogi,Anacardiaceae,Toxicodendron diversilobum,Toxicodendron diversilobum,Dry woods and exposed rocky places; Galiano and Valdez. DeCourcy also.,,,"AS, AJW",complete,accepted,51080,Toxicodendron diversilobum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Anacardiaceae,Anacardioideae,,Toxicodendron,diversilobum,,
ogi,Apiaceae,Angelica genuflexa,Angelica genuflexa,"HLR Bodega Ridge, Galiano 1995 ( id? Poss lucida), TRA Mayne date?location?",,review OGI records,"AS, AJW",in progress,accepted,75450,Angelica genuflexa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Selineae,Angelica,genuflexa,,
ogi,Apiaceae,Anthriscus caucalis,Anthriscus caucalis,"FL Prevost Island 2004, Port Browning, N Pender 2003, A&OC De Courcy 1980, Calder Virago Point, Galiano 1961, HJ Bellhouse Park, Galiano 1999. Cabbage Island Erickson-McGee iNaturalist report 2020. Widespread on small islets throughout.",,,"AS, AJW",complete,accepted,52846,Anthriscus caucalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Scandiceae,Anthriscus,caucalis,,
ogi,Apiaceae,Carum carvi,Carum carvi,HJ Bedwell Harbour salt marsh and beach 1979.,,,"AS, AJW",complete,accepted,160162,Carum carvi,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Careae,Carum,carvi,,
ogi,Apiaceae,Cicuta douglasii,Cicuta douglasii,"HJ Galiano Sphagnum bog 1975, JKH N Pender 1896",,,"AS, AJW",complete,accepted,76338,Cicuta douglasii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Oenantheae,Cicuta,douglasii,,
ogi,Apiaceae,Conioselinum pacificum,Conioselinum gmelinii,"Beaches and sandy shorelines, all islands.",FPNW does not recognize C. gmelinii though these taxa are synonymized in annotations on CPNWH,"Combination C. gmelinii (Bray) Steud. of 1840 is a synonym of the Asian C. tataricum.  C. gmeliniii J.M. Coult. & Rose of 1900  is an illegitimate name because of the publication of the 1840 name.  The latter name is referential to our C. pacificum. (DG); while both Bray and Chamisso & Schlechtendal thought they were describing the same plant as Gmelin's pre-Linnaean phrase name, neither were... Bray's plant is from Latvia, C&S's is from the Bering coast of Alaska, and Gmelin's ""in omni Sibiria crescens"". (C&S's name is also illegitimate, for a separate reason than Coulter & Rose's.) Interestingly, the most recent (2003) revision of Conioselinum does (as David mentioned) dramatically expand C. tataricum from central Asia to include both Bray's and Gmelin's concept. That paper also calls our plants C. chinense, but as they really only focus on Eurasia they appear to be parroting Mathias and Constance's treatment in the vol 28 of the North American Flora (1944-1945). Cronquist's criticisms (Vasc Plants PNW vol 3, 1961) appear completely justified, and the M&C measurements appear to be based almost exclusively on Pacific material (their seed size figures exclude those for New England material given by Cronquist). The M&C treatment was prepared while Mathias was still at Berkeley with Constance, and it's entirely possible that they had insufficient material of C. chinense sensu stricto from New England. The 2003 paper does not cite Cronquist.","AS, AJW, DG",complete,unaccepted,160830,Conioselinum gmelinii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,,Conioselinum,gmelinii,,
ogi,Apiaceae,Conium maculatum,Conium maculatum,"HJ Narvaez Bay driveways, Saturna 2020. Shore access, Active Pass Drive, Galiano. Shark Pl. N Pender 2020.",,,"AS, AJW",complete,accepted,52998,Conium maculatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Smyrnieae,Conium,maculatum,,
ogi,Apiaceae,Daucus carota,Daucus carota,"Roadsides, cultivated ground, meadows, all islands.",,,"AS, AJW",complete,accepted,76610,Daucus carota,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Scandiceae,Daucus,carota,,
ogi,Apiaceae,Daucus pusillus,Daucus pusillus,"Dry, open places, grassy bluffs, all islands.",,,"AS, AJW",complete,accepted,56726,Daucus pusillus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Scandiceae,Daucus,pusillus,,
ogi,Apiaceae,Heracleum mantegazzianum,Heracleum mantegazzianum,"Roadside, North Pender.",,,"AS, AJW",complete,accepted,130228,Heracleum mantegazzianum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Tordylieae,Heracleum,mantegazzianum,,
ogi,Apiaceae,Heracleum maximum,Heracleum maximum,"HJ Winter Cove, Saturna in shoreline in Rosa nutkana thicket 1989.",,,"AS, AJW",complete,accepted,53094,Heracleum maximum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Tordylieae,Heracleum,maximum,,
ogi,Apiaceae,Lomatium grayi,Lomatium grayi,"HJ sea cliffs below Bodega Ridge, Galiano 1982. Now treated as Lomatium papilioniferum J.A. Alexander & W. Whaley. BC material was previously misapplied as Lomatium grayi. Lomatium grayi s.s. occurs only in SE Idaho, Colorado, Utah, Wyoming and New Mexico (Alexander et al. 2018).",,"retain as Lomatium papilioniferum (Alexander et al., 2018) ","AS, AJW",in progress,accepted,77808,Lomatium grayi,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Selineae,Lomatium,grayi,,
ogi,Apiaceae,Lomatium nudicaule,Lomatium nudicaule,"Seaside meadows, grassy shorelines and banks, all islands.",,,"AS, AJW",complete,accepted,77818,Lomatium nudicaule,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Selineae,Lomatium,nudicaule,,
ogi,Apiaceae,Lomatium utriculatum,Lomatium utriculatum,"Grassy bluffs, rocky meadows, all islands.",,,"AS, AJW",complete,accepted,56827,Lomatium utriculatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Selineae,Lomatium,utriculatum,,
ogi,Apiaceae,Oenanthe sarmentosa,Oenanthe sarmentosa,"Pools and streams in shady woods, lake edges and ditches, all islands.",,,"AS, AJW",complete,accepted,60127,Oenanthe sarmentosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Oenantheae,Oenanthe,sarmentosa,,
ogi,Apiaceae,Osmorhiza berteroi,Osmorhiza berteroi,"Open woodlands, trails, all islands.",,,"AS, AJW",complete,accepted,53166,Osmorhiza berteroi,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Scandiceae,Osmorhiza,berteroi,,
ogi,Apiaceae,Perideridia montana,Perideridia gairdneri,"Straley Georgeson Bay Road, Galiano 1989. HJ Moss balds north slope of Mt Sutile, Galiano 2003. HJ Brown Ridge, Saturna 1986.",,,"AS, AJW",complete,unaccepted,78434,Perideridia gairdneri,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Oenantheae,Perideridia,gairdneri,,
ogi,Apiaceae,Petroselinum crispum,Petroselinum crispum,"FL Sturdies Bay ferry dock, Galiano, sandstone ledges and scree above beach; growing with Tanacetum parthenium, 2014. On Lomer & Penny's non-established list.",,"on list of non-established BC plants (AS); spreading unchecked at several locations including on Trial Island – I suggest we consider it an irreversible part of the regional flora now (MF); we still have retained this on established flora, with the following description. “Occasional garden escape, only rarely persisting.” We have records from only two islands – San Juan (with several, at least one persistent) and Yellow (where it went wild for a few years nearby a garden plant but is no longer present) (PD).","AS, AJW, MF, PD",in progress,accepted,78465,Petroselinum crispum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Apieae,Petroselinum,crispum,,
ogi,Apiaceae,Sanicula bipinnatifida,Sanicula bipinnatifida,"HLR Dionisio Point, Galiano 1993. HJ East Point, Saturna 1994, HJ&MF Brown Ridge, Saturna 1995.",,,"AS, AJW",complete,accepted,56840,Sanicula bipinnatifida,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Saniculoideae,Saniculeae,Sanicula,bipinnatifida,,
ogi,Apiaceae,Sanicula crassicaulis var. crassicaulis,Sanicula crassicaulis,"Dry transitional forest, rocky slopes above salt water, all islands. Vars crassicaulis and tripartata both reported for Galiano.",,,"AS, AJW, PD",complete,accepted,68470,Sanicula crassicaulis crassicaulis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Saniculoideae,Saniculeae,Sanicula,crassicaulis,,Sanicula crassicaulis crassicaulis
ogi,Apiaceae,Sanicula crassicaulis var. tripartita,Sanicula crassicaulis,NA,,,"AS, AJW, PD",complete,accepted,68471,Sanicula crassicaulis tripartita,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Saniculoideae,Saniculeae,Sanicula,crassicaulis,,Sanicula crassicaulis tripartita
ogi,Apiaceae,Torilis arvensis,Torilis arvensis,"HJ Saturna vineyard fields, roadsides Saturna 2020. HJ Village Bay Ferry terminal, Mayne 2020. AS Galiano 2020.",,,"AS, AJW",complete,accepted,56846,Torilis arvensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Scandiceae,Torilis,arvensis,,
ogi,Apiaceae,Torilis japonica,Torilis japonica,"HJ Mt Sutil grassy bluffs, Galiano 1976. HJ Saturna Brown Ridge 2003. AS Tapovan Peace Park 2016. FL Valdez Island 2008.",,,"AS, AJW",complete,accepted,133918,Torilis japonica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Scandiceae,Torilis,japonica,,
ogi,Apiaceae,Yabea microcarpa,Yabea microcarpa,"HJ Brown Ridge and Mt Fisher Saturna, Calder Mt Norman, S Pender 1961, AS Galiano 2016",,,"AS, AJW",complete,accepted,56847,Yabea microcarpa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Scandiceae,Yabea,microcarpa,,
ogi,Apocynaceae,Apocynum androsaemifolium,Apocynum androsaemifolium,"HJ Mt Fisher, Saturna 1982, Hydro Cut Montague, Galiano 1984, Heck Hill, Mayne 1982.",,,AS,complete,accepted,47359,Apocynum androsaemifolium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Apocynaceae,Apocynoideae,Apocyneae,Apocynum,androsaemifolium,,
ogi,Apocynaceae,Vinca major,Vinca major,"Abandoned garden persistant, Saturna, Mayne, Galiano.",,Also on north east point of Prevost Island (HJ7 obs),"AS, EM",complete,accepted,53326,Vinca major,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Apocynaceae,Rauvolfioideae,Vinceae,Vinca,major,,
ogi,Apocynaceae,Vinca minor,Vinca minor,"Neglected lots and roadsides; a garden escapee, Mayne, Galiano, N Pender.",,,AS,complete,accepted,55844,Vinca minor,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Apocynaceae,Rauvolfioideae,Vinceae,Vinca,minor,,
ogi,Aquifoliaceae,Ilex aquifolium,Ilex aquifolium,"Adventive in moist woods, Galiano, Mayne, Saturna, N Pender",,,AS,complete,accepted,53856,Ilex aquifolium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Aquifoliales,,,,Aquifoliaceae,,,Ilex,aquifolium,,
ogi,Araceae,Lemna minor,Lemna minor,"Quiet standing water, lakes and ponds throughout. All islands. Many reports may be in error (name misapplied to native L. minuta) Re-check.",,misapplied to L. minuta?,AS,in progress,accepted,54518,Lemna minor,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Araceae,Lemnoideae,,Lemna,minor,,
ogi,Araceae,Lemna minuta,Lemna minuta,HLR ER 128 Sphagnum Bog Galiano 2019,,replaces L. minuta,AS,in progress,accepted,59076,Lemna minuta,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Araceae,Lemnoideae,,Lemna,minuta,,
ogi,Araceae,Lemna trisulca,Lemna trisulca,"Quiet ponds and lake margins. Known from Saturna, Galiano and N Pender.",,,,remaining,accepted,77655,Lemna trisulca,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Araceae,Lemnoideae,,Lemna,trisulca,,
ogi,Araceae,Lemna turionifera,Lemna turionifera,AS Mt Sutil ravine lake Galiano 2017.,,,,remaining,accepted,77656,Lemna turionifera,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Araceae,Lemnoideae,,Lemna,turionifera,,
ogi,Araceae,Lysichiton americanus,Lysichiton americanus,"Fens, wet spots, drainage channels. Common Galiano and North Pender. Absent S Pender, Mayne and Saturna.",,,AS,complete,accepted,48537,Lysichiton americanus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Araceae,Orontioideae,,Lysichiton,americanus,,
ogi,Araceae,Spirodela polyrrhiza,Spirodela polyrhiza,"Quiet standing water, lakes and ponds. Known from Saturna, Galiano and S Pender.",,,,remaining,unaccepted,57867,Spirodela polyrhiza,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Araceae,Lemnoideae,,Spirodela,polyrhiza,,
ogi,Araceae,Wolffia columbiana,Wolffia columbiana,"Calm, standing water , Lakes Saturna, Galiano, North Pender. Expect all islands.",,multiple Wolffia present?,"AS, FM",in progress,accepted,79528,Wolffia columbiana,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Araceae,Lemnoideae,,Wolffia,columbiana,,
ogi,Araliaceae,Hedera helix,Hedera helix,"Escaping into lowland, mesic forest, all islands.",,,,remaining,accepted,55882,Hedera helix,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Araliaceae,Aralioideae,,Hedera,helix,,
ogi,Araliaceae,Hydrocotyle ranunculoides,Hydrocotyle ranunculoides,"HLR report Prevost Island. CDC 2008 update: Formerly not considered part of the flora in BC, this species is now considered historic (possibly extirpated) native taxon.",,,,remaining,accepted,60951,Hydrocotyle ranunculoides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Araliaceae,Hydrocotyloideae,,Hydrocotyle,ranunculoides,,
ogi,Asparagaceae,Asparagus officinalis,Asparagus officinalis,"Occasionally escaping, waste ground. Collected from Mayne and Galiano.",,Also on N Pender (HJ7 obs),EM,remaining,accepted,60265,Asparagus officinalis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Asparagoideae,,Asparagus,officinalis,,
ogi,Asparagaceae,Brodiaea coronaria,Brodiaea coronaria,"Dry, open, grassy slopes and rocky outcrops. All islands.",,,,remaining,accepted,57126,Brodiaea coronaria,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Brodiaeoideae,,Brodiaea,coronaria,,
ogi,Asparagaceae,Camassia leichtlinii ssp. suksdorfii,Camassia leichtlinii suksdorfii,"South facing bluffs, shelves isolated from grazing. All islands.",,,,remaining,accepted,79659,Camassia leichtlinii suksdorfii,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Agavoideae,,Camassia,leichtlinii,Camassia leichtlinii suksdorfii,
ogi,Asparagaceae,Camassia quamash ssp. maxima,Camassia quamash maxima,Rare on islands; occuring with C. leichtlinii.,,,,remaining,accepted,234790,Camassia quamash maxima,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Agavoideae,,Camassia,quamash,Camassia quamash maxima,
ogi,Asparagaceae,Hyacinthoides hispanica,Hyacinthoides hispanica,"Persisting from cultivation along with H. non-scripta. Straley Sturdies Bay, Galiano 1983.",,"reports of Hyacinthoides hispanica likely refer to Hyacinthoides × massartiana; see remarks from QC: ""Commonly naturalized in the LM and is a persistent relic of cult in SGI. Both H. hispanica and H. non-scripta are cultivated in BC but I have never seen them naturalized.""; PD & AM also report Hyacinthoides × massartiana","AS, QC",in progress,accepted,57635,Hyacinthoides hispanica,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Scilloideae,Hyacintheae,Hyacinthoides,hispanica,,
ogi,Asparagaceae,Hyacinthoides massartiana,Hyacinthoides × massartiana,"Persisting from cultivation, AS Montague Harbour, Galiano 2017.",,see Hyacinthoides hispanica,"AS, QC",in progress,invalid,863646,Hyacinthoides × massartiana,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Scilloideae,Hyacintheae,Hyacinthoides,,,
ogi,Asparagaceae,Maianthemum dilatatum,Maianthemum dilatatum,"Moist to dry open forest Mayne, Galiano and North Pender. Rare on Saturna and South Pender.",,,AS,complete,accepted,63939,Maianthemum dilatatum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Nolinoideae,Polygonateae,Maianthemum,dilatatum,,
ogi,Asparagaceae,Maianthemum racemosum ssp. amplexicaule,Maianthemum racemosum amplexicaule,"HJ Creek draining into Georgeson Bay, Galiano 1980. L Baile Mt Elizabeth Park, N Pender 2020.",,,AS,complete,accepted,53012,Maianthemum racemosum amplexicaule,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Nolinoideae,Polygonateae,Maianthemum,racemosum,Maianthemum racemosum amplexicaule,
ogi,Asparagaceae,Maianthemum stellatum,Maianthemum stellatum,"Mayne. Marshy ground with aspen, Edith Point",,,AS,complete,accepted,53268,Maianthemum stellatum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Nolinoideae,Polygonateae,Maianthemum,stellatum,,
