area,Family,TaxonName,iNatTaxon,HJ_comment,FPNW_note,critical_comments,reviewed,review_status
ogi,Apiaceae,Osmorhiza berteroi,Osmorhiza berteroi,"Open woodlands, trails, all islands.",,,"AS, AJW",complete
ogi,Apiaceae,Perideridia montana,Perideridia gairdneri,"Straley Georgeson Bay Road, Galiano 1989. HJ Moss balds north slope of Mt Sutile, Galiano 2003. HJ Brown Ridge, Saturna 1986.",,,"AS, AJW",complete
ogi,Apiaceae,Petroselinum crispum,Petroselinum crispum,"FL Sturdies Bay ferry dock, Galiano, sandstone ledges and scree above beach; growing with Tanacetum parthenium, 2014. On Lomer & Penny's non-established list.",,"on list of non-established BC plants (AS); spreading unchecked at several locations including on Trial Island – I suggest we consider it an irreversible part of the regional flora now (MF); we still have retained this on established flora, with the following description. “Occasional garden escape, only rarely persisting.” We have records from only two islands – San Juan (with several, at least one persistent) and Yellow (where it went wild for a few years nearby a garden plant but is no longer present) (PD).","AS, AJW, MF, PD",in progress
ogi,Apiaceae,Sanicula bipinnatifida,Sanicula bipinnatifida,"HLR Dionisio Point, Galiano 1993. HJ East Point, Saturna 1994, HJ&MF Brown Ridge, Saturna 1995.",,,"AS, AJW",complete
ogi,Apiaceae,Sanicula crassicaulis var. crassicaulis,Sanicula crassicaulis,"Dry transitional forest, rocky slopes above salt water, all islands. Vars crassicaulis and tripartata both reported for Galiano.",,,"AS, AJW, PD",complete
ogi,Apiaceae,Sanicula crassicaulis var. tripartita,Sanicula crassicaulis,NA,,,"AS, AJW, PD",complete
ogi,Apiaceae,Torilis arvensis,Torilis arvensis,"HJ Saturna vineyard fields, roadsides Saturna 2020. HJ Village Bay Ferry terminal, Mayne 2020. AS Galiano 2020.",,,"AS, AJW",complete
ogi,Apiaceae,Torilis japonica,Torilis japonica,"HJ Mt Sutil grassy bluffs, Galiano 1976. HJ Saturna Brown Ridge 2003. AS Tapovan Peace Park 2016. FL Valdez Island 2008.",,,"AS, AJW",complete
ogi,Apiaceae,Yabea microcarpa,Yabea microcarpa,"HJ Brown Ridge and Mt Fisher Saturna, Calder Mt Norman, S Pender 1961, AS Galiano 2016",,,"AS, AJW",complete
ogi,Apocynaceae,Apocynum androsaemifolium,Apocynum androsaemifolium,"HJ Mt Fisher, Saturna 1982, Hydro Cut Montague, Galiano 1984, Heck Hill, Mayne 1982.",,,AS,complete
ogi,Apocynaceae,Vinca major,Vinca major,"Abandoned garden persistant, Saturna, Mayne, Galiano.",,Also on north east point of Prevost Island (HJ7 obs),"AS, EM",complete
ogi,Apocynaceae,Vinca minor,Vinca minor,"Neglected lots and roadsides; a garden escapee, Mayne, Galiano, N Pender.",,,AS,complete
ogi,Aquifoliaceae,Ilex aquifolium,Ilex aquifolium,"Adventive in moist woods, Galiano, Mayne, Saturna, N Pender",,,AS,complete
ogi,Araceae,Lemna minor,Lemna minor,"Quiet standing water, lakes and ponds throughout. All islands. Many reports may be in error (name misapplied to native L. minuta) Re-check.",,misapplied to L. minuta?,AS,in progress
ogi,Araceae,Lemna minuta,Lemna minuta,HLR ER 128 Sphagnum Bog Galiano 2019,,replaces L. minuta,AS,in progress
ogi,Araceae,Lemna trisulca,Lemna trisulca,"Quiet ponds and lake margins. Known from Saturna, Galiano and N Pender.",,,,remaining
ogi,Araceae,Lemna turionifera,Lemna turionifera,AS Mt Sutil ravine lake Galiano 2017.,,,,remaining
ogi,Araceae,Lysichiton americanus,Lysichiton americanus,"Fens, wet spots, drainage channels. Common Galiano and North Pender. Absent S Pender, Mayne and Saturna.",,,AS,complete
ogi,Araceae,Spirodela polyrrhiza,Spirodela polyrhiza,"Quiet standing water, lakes and ponds. Known from Saturna, Galiano and S Pender.",,,,remaining
ogi,Araceae,Wolffia columbiana,Wolffia columbiana,"Calm, standing water , Lakes Saturna, Galiano, North Pender. Expect all islands.",,multiple Wolffia present?,"AS, FM",in progress
ogi,Araliaceae,Hedera helix,Hedera helix,"Escaping into lowland, mesic forest, all islands.",,,,remaining
ogi,Araliaceae,Hydrocotyle ranunculoides,Hydrocotyle ranunculoides,"HLR report Prevost Island. CDC 2008 update: Formerly not considered part of the flora in BC, this species is now considered historic (possibly extirpated) native taxon.",,,,remaining
ogi,Asparagaceae,Asparagus officinalis,Asparagus officinalis,"Occasionally escaping, waste ground. Collected from Mayne and Galiano.",,Also on N Pender (HJ7 obs),EM,remaining
ogi,Asparagaceae,Brodiaea coronaria,Brodiaea coronaria,"Dry, open, grassy slopes and rocky outcrops. All islands.",,,,remaining
ogi,Asparagaceae,Camassia leichtlinii ssp. suksdorfii,Camassia leichtlinii suksdorfii,"South facing bluffs, shelves isolated from grazing. All islands.",,,,remaining
ogi,Asparagaceae,Camassia quamash ssp. maxima,Camassia quamash maxima,Rare on islands; occuring with C. leichtlinii.,,,,remaining
ogi,Asparagaceae,Hyacinthoides hispanica,Hyacinthoides hispanica,"Persisting from cultivation along with H. non-scripta. Straley Sturdies Bay, Galiano 1983.",,"reports of Hyacinthoides hispanica likely refer to Hyacinthoides × massartiana; see remarks from QC: ""Commonly naturalized in the LM and is a persistent relic of cult in SGI. Both H. hispanica and H. non-scripta are cultivated in BC but I have never seen them naturalized.""; PD & AM also report Hyacinthoides × massartiana","AS, QC",in progress
ogi,Asparagaceae,Hyacinthoides massartiana,Hyacinthoides × massartiana,"Persisting from cultivation, AS Montague Harbour, Galiano 2017.",,see Hyacinthoides hispanica,"AS, QC",in progress
ogi,Asparagaceae,Maianthemum dilatatum,Maianthemum dilatatum,"Moist to dry open forest Mayne, Galiano and North Pender. Rare on Saturna and South Pender.",,,AS,complete
ogi,Asparagaceae,Maianthemum racemosum ssp. amplexicaule,Maianthemum racemosum amplexicaule,"HJ Creek draining into Georgeson Bay, Galiano 1980. L Baile Mt Elizabeth Park, N Pender 2020.",,,AS,complete
ogi,Asparagaceae,Maianthemum stellatum,Maianthemum stellatum,"Mayne. Marshy ground with aspen, Edith Point",,,AS,complete
ogi,Asparagaceae,Muscari armeniacum,Muscari armeniacum,Magner Galiano 2015. habitat?,,,,remaining
ogi,Asparagaceae,Ornithogalum umbellatum,Ornithogalum umbellatum,Persisting from cultivation. Galiano location?,,,,remaining
ogi,Asparagaceae,Triteleia grandiflora,Triteleia grandiflora,Tweedale dry shoreline forest Linklater Road Galiano 2018. Possibly T. howellii? HJ,,list T. g. howellii?,AS,in progress
ogi,Asparagaceae,Triteleia hyacinthina,Triteleia hyacinthina,"Grassy slopes on bluffs, all islands.",,,AS,complete
ogi,Aspleniaceae,Asplenium trichomanes,Asplenium trichomanes,"Otter Bay woods below road North Pender. Ledges and cliffs Breezy Bay and west side Boot Cove, Saturna. Huggins trail off McCoskrie Road, Galiano. Several iNaturalist reports Galiano.",,,,remaining
ogi,Asteraceae,Achillea millefolium complex,Achillea millefolium,"Roadsides, disturbed ground, all islands.",,listed as Achillea millefolium complex,AS,in progress
ogi,Asteraceae,Adenocaulon bicolor,Adenocaulon bicolor,"Moist, shady woods, all islands.",,,AS,complete
ogi,Asteraceae,Agoseris grandiflora var. leptophylla,Agoseris grandiflora leptophylla,"Grassy bluffs, all islands.",,,AS,complete
ogi,Asteraceae,Agoseris heterophylla,Agoseris heterophylla,"Grassy bluffs and ridges, all islands.",,,,remaining
ogi,Asteraceae,Ambrosia chamissonis,Ambrosia chamissonis,"Sandy beaches, shoreline dunes, all islands.",,,,remaining
ogi,Asteraceae,Anaphalis margaritacea,Anaphalis margaritacea,"Open woods and roadsides, all islands.",,,AS,complete
ogi,Asteraceae,Anisocarpus madioides,Anisocarpus madioides,"Dry, open Douglas-fir woodlands, all islands.",,,AS,complete
ogi,Asteraceae,Anthemis arvensis,Anthemis arvensis,"HJ N Pender 1981, FN N Pender 2006.",,,,remaining
ogi,Asteraceae,Anthemis cotula,Anthemis cotula,"Roadsides, waste ground, all islands.",,,,remaining
ogi,Asteraceae,Arctium minus,Arctium minus,"Waste ground, roadside, all islands.",,,AS,complete
ogi,Asteraceae,Artemisia absinthium,Artemisia absinthium,"TRA Mayne date? location? Cullen Mortimer Spit, S Pender iNaturalist observation 2020.",,,,remaining
ogi,Asteraceae,Artemisia campestris var. scouleriana,Artemisia campestris pacifica,"Open, grassy shoreline cliffs, all islands.",,,AS,complete
ogi,Asteraceae,Artemisia suksdorfii,Artemisia suksdorfii,"Bluffs and beaches, all islands.",,,AS,complete
ogi,Asteraceae,Bellis perennis,Bellis perennis,"Lawns, meadows, pastures, waste ground, all islands.",,,AS,complete
ogi,Asteraceae,Bidens amplissima,Bidens amplissima,"HJ Pond edge,Blackbird Hill, Scirpus wetland, Winter Cove Park, Saturna. Chatwin Spotlight Cove Galiano 2012. Chytyk same 2012. AS ER128 Galiano 2020.",,,,remaining
ogi,Asteraceae,Bidens cernua,Bidens cernua,"AS Divina Road, Galiano 2016. AS Cook Rd Galiano 2020.",,,,remaining
ogi,Asteraceae,Bidens frondosa,Bidens frondosa,"HJ Fen in Winter Cove, Saturna 1998.",,,,remaining
ogi,Asteraceae,Carthamus creticus,Carthamus creticus,"Collected once in pasture, Mayne HJ. Not persisting. On Lomer & Penny's non-established list.",not in FPNW2,,,remaining
ogi,Asteraceae,Centaurea cyanus,Centaurea cyanus,"Roadsides, and waste places;Saturna, Galiano, especially widespread N Pender",,,,remaining
ogi,Asteraceae,Centaurea melitensis,Centaurea melitensis,"Samuel Island and Georgeson Island. Steep, grassy south-facing slopes just above salt water. HJ Tumbo Island 2007. Collection same places HLR. Also Fenneman Tumbo 2007.",,,,remaining
ogi,Asteraceae,Centaurea nigra,Centaurea nigra,HJ Farm field North Pender 1981.,,,,remaining
ogi,Asteraceae,Cichorium intybus,Cichorium intybus,"Roadsides, farm fields, meadows, all islands.",,,,remaining
ogi,Asteraceae,Cirsium arvense,Cirsium arvense,"Roadsides, disturbed ground, fields, all islands.",,,,remaining
ogi,Asteraceae,Cirsium brevistylum,Cirsium brevistylum,"Roadsides, disturbed ground, fields, all islands.",,,,remaining
ogi,Asteraceae,Cirsium vulgare,Cirsium vulgare,"Disturbed ground, fields and roadside, all islands.",,,,remaining
ogi,Asteraceae,Conyza canadensis,Erigeron canadensis,"Waste places and disturbed soil, farm yards, all islands.",,,,remaining
ogi,Asteraceae,Cotula coronopifolia,Cotula coronopifolia,"TRA S Pender date? Location?, HJ Tumbo Island, Cabbage Island 1993.",,,,remaining
ogi,Asteraceae,Crepis capillaris,Crepis capillaris,"Roadsides, waste places, all islands.",,,,remaining
ogi,Asteraceae,Crepis nicaeensis,Crepis nicaeensis,Mayne location? Collection at CAN. Collector? Removed from BC checklist -no specimines 70+ years.,,,,remaining
ogi,Asteraceae,Crepis vesicaria ssp. taraxacifolia,Crepis vesicaria taraxacifolia,"Eastham lists for Mayne, location? Not present GD.",,,,remaining
ogi,Asteraceae,Crocidium multicaule,Crocidium multicaule,"JP,GD,HJ Kendrick Island 1998. HJ steep, seepy rock faces, Saturna 1974,1983. HJ Mt Sutil 1978.",,,,remaining
ogi,Asteraceae,Doronicum pardalianches,Doronicum pardalianches,AS Montague Harbour parking lot 2017.,,,,remaining
ogi,Asteraceae,Eriophyllum lanatum var. leucophyllum,Eriophyllum lanatum leucophyllum,"Grassy bluffs and ledges, all islands.",,,,remaining
ogi,Asteraceae,Eutrochium maculatum var. bruneri,Eutrochium maculatum bruneri,Eastham lists in Prelim Flora of VI and QCI for Saturna. No collection vouchers known.,,,,remaining
ogi,Asteraceae,Filago arvensis,Filago arvensis,HLR Blunden Island 2005.,,,,remaining
ogi,Asteraceae,Filago pyramidata,Filago pyramidata,Note HJ 1974 collection in H&C2018. I generally treated Filago from islands as F. germanica = F. vulgaris,,,,remaining
ogi,Asteraceae,Galinsoga quadriradiata,Galinsoga quadriradiata,"HJ large garden, Mayne 1994, Winery fields, Saturna 2002. AS Galiano 2018.",,,,remaining
ogi,Asteraceae,Gamochaeta ustulata,Gamochaeta ustulata,"Roadside vernal pools, disturbed ground, all islands.",,,,remaining
ogi,Asteraceae,Gnaphalium palustre,Gnaphalium palustre,"Roadside vernal pools, disturbed ground, all islands.",,,,remaining
ogi,Asteraceae,Gnaphalium uliginosum,Gnaphalium uliginosum,"Roadside vernal pools, disturbed ground, all islands.",,,,remaining
ogi,Asteraceae,Grindelia hirsutula,Grindelia hirsutula,"K&J Miskelly Galiano 2017. location? Saleh MacClure Rd, Galiano 1970.",,,,remaining
ogi,Asteraceae,Grindelia integrifolia,Grindelia integrifolia,"Coastal bluffs, beaches, salt marshes and meadows, all islands. =G. stricta on Galiano list?",,,,remaining
ogi,Asteraceae,Grindelia squarrosa,Grindelia squarrosa,AC re-id HJ collections A143 and 629 Mayne and Galiano as G. s.,,,,remaining
ogi,Asteraceae,Hieracium albiflorum,Hieracium albiflorum,"Dry, open coniferous forest and margins, all islands.",,,,remaining
ogi,Asteraceae,Hieracium aurantiacum,Pilosella aurantiaca,"Roadsides, waste ground, Saturna, Galiano. Doesn't appear to spread easily in area.",,,,remaining
ogi,Asteraceae,Hypochaeris glabra,Hypochaeris glabra,"Roadside, disturbed and waste ground, all islands.",,,AS,complete
ogi,Asteraceae,Hypochaeris radicata,Hypochaeris radicata,"Lawns, cultivated ground, waste ground, all islands.",,,AS,complete
ogi,Asteraceae,Jacobaea maritima,Jacobaea maritima,"Persisting along rocky shoreline, Boot Cove, Saturna. Galiano location?",,,,remaining
ogi,Asteraceae,Jacobaea vulgaris,Jacobaea vulgaris,"Roadside and logging roads, widespread all islands, spreading aggressivly. Cinnabar moths too.",,,,remaining
ogi,Asteraceae,Jaumea carnosa,Jaumea carnosa,"Salt marshes and mud flats Saturna, Cabbage, Tumbo. JP N Pender 1996.",,,,remaining
ogi,Asteraceae,Lactuca serriola,Lactuca serriola,"Roadsides, fields and waste places, all islands.",,,,remaining
ogi,Asteraceae,Lapsana communis,Lapsana communis,"Roadside, disturbed ground, forest edges, all islands.",,,,remaining
ogi,Asteraceae,Leontodon autumnalis,Scorzoneroides autumnalis,"RLT Helen Point, Mayne 1978. Straley Mayne 1987, TRA N Pender 1958.",,,,remaining
ogi,Asteraceae,Leontodon saxatilis,Leontodon saxatilis,"Lawns, roadsides and waste places, all islands.",,,,remaining
ogi,Asteraceae,Leucanthemum vulgare,Leucanthemum vulgare,"Fields, roadsides, and waste places, all islands.",,,,remaining
ogi,Asteraceae,Luina hypoleuca,Luina hypoleuca,FL Prevost Island 2004.,,,,remaining
ogi,Asteraceae,Madia exigua,Madia exigua,"Roadsides, grassy ridges, all islands.",,,AS,complete
ogi,Asteraceae,Madia glomerata,Madia glomerata,"Roadsides, dry open places, all islands.",,,,remaining
ogi,Asteraceae,Madia gracilis,Madia gracilis,"Grassy bluffs and ledges, all islands.",,,AS,complete
ogi,Asteraceae,Madia sativa,Madia sativa,"Roadsides, all islands.",,,AS,complete
ogi,Asteraceae,Matricaria discoidea,Matricaria discoidea,"Roadsides, disturbed ground, all islands.",,,,remaining
ogi,Asteraceae,Mycelis muralis,Mycelis muralis,"Open, mesic forest, all islands.",,,AS,complete
ogi,Asteraceae,Petasites frigidus var. palmatus,Petasites frigidus palmatus,Roadside and moist forest Galiano.,,,,remaining
ogi,Asteraceae,Petasites hybridus,Petasites hybridus,"FL shoreline Greenburn Lake, S Pender 2006.",,,,remaining
ogi,Asteraceae,Petasites japonicus,Petasites japonicus,"HJ Piggot Bay ditch, Mayne 1980. Also Indian Reserve, Galiano, Thieves Bay, N Pender.",,,,remaining
ogi,Asteraceae,Pseudognaphalium stramineum,Pseudognaphalium stramineum,"HJ Logging road, Mt Park on Mayne 1975, Dinner Point Mayne 1980, Mt Sutil gravel pit Galiano 1981, salt marsh Parker Island 1981, Winter Cove Park roadside also East Point helicopter pad Saturna 1983. FL Ferry Terminal N Pender 2003. Bedwell Harbour shoreline, S Pender 2019.",,,,remaining
ogi,Asteraceae,Pseudognaphalium thermale,Pseudognaphalium thermale,"Logged areas, roadsides, disturbed ground, all islands.",,,,remaining
ogi,Asteraceae,Psilocarphus tenellus,Psilocarphus tenellus,"FL Gowland Point Rd and foot of Higgs Road, S Pender 2003, 2006. HJ old dump area Saturna 2020.",,,,remaining
ogi,Asteraceae,Santolina chamaecyparissus,Santolina chamaecyparissus,"TRA N Pender. HJ Lighthouse Point, Prevost Island, persisting but not apparently established.",not in FPNW2,,,remaining
ogi,Asteraceae,Senecio sylvaticus,Senecio sylvaticus,"Disturbed soil and waste places, all islands.",,,,remaining
ogi,Asteraceae,Senecio vulgaris,Senecio vulgaris,"Roadsides, waste ground, cultivated ground, all islands",,,,remaining
ogi,Asteraceae,Silybum marianum,Silybum marianum,"HJ Highways yard N Pender 1979. Garden Port Washington, N Pender 1981.",,,,remaining
ogi,Asteraceae,Solidago lepida var. lepida,Solidago lepida lepida,"Grassy places and open woods, all islands. Generally rare on Gulf Islands.",,,,remaining
ogi,Asteraceae,Soliva sessilis,Soliva sessilis,"Headley Lovers Leap view point Galiano 2019, HJ Winter Cove Park picnic area Saturna 2016. Cruickshank Portland Island 2016 Naturalist observation.",,,,remaining
ogi,Asteraceae,Sonchus arvensis ssp. uliginosus,Sonchus arvensis uliginosus,"Landward edges of salt marshes, beach shoreline, all islands.",,,,remaining
ogi,Asteraceae,Sonchus asper,Sonchus asper,"Disturbed ground, cultivated ground, all islands.",,,,remaining
ogi,Asteraceae,Sonchus oleraceus,Sonchus oleraceus,"Disturbed ground, cultivated ground, all islands.",,,,remaining
ogi,Asteraceae,Symphyotrichum chilense,Symphyotrichum chilense,"AW Galiano 1975, HJ DL3 Galiano 1982. BT (?name) Porlier Pass Road, Galiano 1966. S. chilensis x subspicatum reported for Galiano, documentation?",,,,remaining
ogi,Asteraceae,Symphyotrichum novi-belgii var. novi-belgii,Symphyotrichum novi-belgii novi-belgii,"AS Lion's park, Galiano 2016. established? On Lomer & Penny's non-established list. Established garden escape in Metro Vancouver (including various cultivars or derivatives). Most weedy plants encountered in SW BC that look like S. chilense or S. subspicatum, or S. douglasii are this species (J. Fenneman, pers. comm. 2017).",not in FPNW2,,,remaining
ogi,Asteraceae,Symphyotrichum subspicatum,Symphyotrichum subspicatum,All specimines need re-examination.,,,,remaining
