area,Family,TaxonName,iNatTaxon,HJ_comment,FPNW_note,critical_comments,reviewed,review_status
ogi,Alismataceae,Alisma lanceolatum,,NA,,"added by AS, based on Pender Island iNat observation; reports of Alisma gramineum may refer to A. lanceolatum (see Saanich list)","AS, AW, FL",complete
ogi,Amaranthaceae,Amaranthus albus,Amaranthus albus,"HJ Otter Bay, N Pender 1982. Foulkes Village Bay, Mayne 1926, HJ Village Bay 1980. Records at V and CPNWH appear as both albus and blitoides. (?)",,"HJ material from Southern Gulf Islands, Amaranthus graecizans (misapplied); Specimens positively determined as A. albus by Mihai Costea, who has published extensively on Amaranthus (AS); the genus level taxonomy that Mihai provided you is current, and most of the taxa on the list do occur in the area of interest. (DG)","AS, DG, FL",complete
ogi,Amaranthaceae,Amaranthus blitoides,Amaranthus blitoides,Miner's Bay HJ 1980 Otter Bay HJ 1982. M Foulks Mayne 1926.HJ old dump Saturna 2020.,,"Specimens positively determined as A. blitoides by Mihai Costea, who has published extensively on Amaranthus (AS); the genus level taxonomy that Mihai has provided is current, and most of the taxa on the list do occur in the area of interest. (DG)","AS, DG",complete
ogi,Amaranthaceae,Amaranthus powellii,Amaranthus powellii,"Gardens, waste ground. All islands.",,"HJ material from Southern Gulf Islands positively determined by Mihai Costea, who has published extensively on Amaranthus (AS)","AS, DG",complete
ogi,Amaranthaceae,Amaranthus retroflexus,Amaranthus retroflexus,"Gardens, waste ground. All islands.",,"HJ material from Southern Gulf Islands positively determined by Mihai Costea, who has published extensively on Amaranthus (AS)","AS, DG",complete
ogi,Amaranthaceae,Atriplex dioica,Atriplex dioica,"TRA N Pender 1957, Sczcawinski S Pender 1955.",,"Harvey doesn't recognize Atriplex patula in OGI, Saanich or SSI; synonymizes A. prostrata with A. patula var. hastata (which he only recognizes in SJIs) that Harvey recognized Atriplex dioica but not A. patula in his revised flora suggests to me that he had come to recognize A. dioica as a common species to which the name Atriplex patula may have historically been misapplied? (AS); A. patula is a Eurasian weed and probably based on old taxonomy.  I would not trust it without a verifying specimen; Atriplex dioica is in for sure.  It is the common native on sea beaches in the whole range. (FL)","AS, FL",complete
ogi,Amaranthaceae,Atriplex gmelinii,Atriplex gmelinii,Strand and mudflats. All islands. Including A. prostrata = A. patula var hastata,,"Harvey synonymizes A. gmelinii with A. patula var. obtusa or zosterifolia; the only records from south coast of BC have dated annotations (AS); Atriplex gmelinii is perhaps doubtful, it is not often found here, but certainly possible; A. prostrata is a beach plant with triangular leaves and rather frequent so should be there. (FL)","AS, FL",complete
ogi,Amaranthaceae,Atriplex prostrata,Atriplex gmelinii,NA,,A. prostrata is a beach plant with triangular leaves and rather frequent so should be there. (FL),"AS, FL",complete
ogi,Amaranthaceae,Chenopodium album,Chenopodium album,Gardens and waste places. All islands.,,species you show are correct and present in the area (DG); Chenopodium probstii (syn. Chenopodium album var. album?) reportedly non-established in BC; remove?,"AS, DG",in progress
ogi,Amaranthaceae,Oxybasis rubra var. humilis,Oxybasis rubra humilis,"Salt marshes, Saturna, Tumbo, S Pender.",,Species you show are correct and present in the area (DG) ,"DG, PD",complete
ogi,Amaranthaceae,Salicornia depressa,Salicornia depressa,"Bennett Wise Island 2001. Lamb and Gibbs Galiano location? iNaturalist report Mortimer Spit, N Pender 2017.",,Also on Prevost (HJ7 obs),"AS, DG",complete
ogi,Amaranthaceae,Salicornia pacifica,Salicornia pacifica,"Mud flats, salt marshes and beaches. All islands.","recorded by HJ: ‘Salicornia pacifica’; “FPNW2 appears to be following FNA (2003) which reports Sarcocornia perennis (prostrate, with woody stems readily rooting in the substrate) from BC and S. pacifica (procumbent to erect shrubs in which woody stems usually do not root) to include east coast of North America (New Hampshire south to Florida) , California and Mexico, but NOT BC. http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=129207; VASCAN has updated their names to Salicornia pacifica following a more recent treatment by Piirainen et al. 2017 that proposes a new infrageneric classification for Salicornia (incl. Sarcocornia) and shows Salicornia pacifica present in BC.Salicornia perennis is excluded. http://data.canadensys.net/vascan/search?q=sarcocorniaSo, you could move ahead of the pack and call your material Salicornia pacifica Standley sensu Piirianen et al. 2017 OR you could use the synonym Sarcocornia pacifica. I’ll propose the name change (Sarcocornia pacifica to Salicornia pacifica) for fall review, but it would not show up in Species Explorer/E-Flora until next year.” –MD",=Salicornia pacifica,"AS, DG, MD ",in progress
ogi,Amaryllidaceae,Allium acuminatum,Allium acuminatum,"Grassy, south facing bluffs. All islands.",,,AS,complete
ogi,Amaryllidaceae,Allium amplectens,Allium amplectens,"Saturna, Samuel, Mayne, Galiano, North Pender. Grassy ledges, sometimes with vernal seepage. All known popuations consist of several hundred plants in very small area with no apparent spreading to nearby similar habitat. Several populations just above high tide line in Active Pass.",,,AS,complete
ogi,Amaryllidaceae,Allium cernuum,Allium cernuum,"South facing bluffs, dry ridges throughout, all islands.",,,AS,complete
ogi,Amaryllidaceae,Allium geyeri var. tenerum,Allium geyeri tenerum,"Owl Island near Prevost Island. Rock Outcrop. 8 clumps in two spots at one site only with Grindelia stricta, rocky point near saltspray zone. Sinclair, MD, FL.",,,AS,complete
ogi,Amaryllidaceae,Allium vineale,Allium vineale,Meadows and old fields occasional escape. Mayne and Galiano.,,"Allium vineale is a rapidly spreading weed occurring in many places in the Victoria area, including parks like Uplands, Chinese Cemetery, Trafalgar, and along roads, boulevards and lawns. (MF)","MF, AS",complete
ogi,Amaryllidaceae,Narcissus pseudonarcissus,Narcissus pseudonarcissus,Persisting from cultivation,,"Retain as adventive on separate list? Otherwise add to the list for the Saanich Peninsula, where it also known (AS); Should we also include Narcissus poeticus (Frank Lomer, Sidney BC, V253388; see also Peter Dunwiddie, Patos Island, WA), which is reported for the region? (AS)",AS,in progress
ogi,Anacardiaceae,Toxicodendron diversilobum,Toxicodendron diversilobum,Dry woods and exposed rocky places; Galiano and Valdez. DeCourcy also.,,,"AS, AJW",complete
ogi,Apiaceae,Angelica genuflexa,Angelica genuflexa,"HLR Bodega Ridge, Galiano 1995 ( id? Poss lucida), TRA Mayne date?location?",,review OGI records,"AS, AJW",in progress
ogi,Apiaceae,Anthriscus caucalis,Anthriscus caucalis,"FL Prevost Island 2004, Port Browning, N Pender 2003, A&OC De Courcy 1980, Calder Virago Point, Galiano 1961, HJ Bellhouse Park, Galiano 1999. Cabbage Island Erickson-McGee iNaturalist report 2020. Widespread on small islets throughout.",,,"AS, AJW",complete
ogi,Apiaceae,Carum carvi,Carum carvi,HJ Bedwell Harbour salt marsh and beach 1979.,,,"AS, AJW",complete
ogi,Apiaceae,Cicuta douglasii,Cicuta douglasii,"HJ Galiano Sphagnum bog 1975, JKH N Pender 1896",,,"AS, AJW",complete
ogi,Apiaceae,Conioselinum pacificum,Conioselinum gmelinii,"Beaches and sandy shorelines, all islands.",FPNW does not recognize C. gmelinii though these taxa are synonymized in annotations on CPNWH,"Combination C. gmelinii (Bray) Steud. of 1840 is a synonym of the Asian C. tataricum.  C. gmeliniii J.M. Coult. & Rose of 1900  is an illegitimate name because of the publication of the 1840 name.  The latter name is referential to our C. pacificum. (DG); while both Bray and Chamisso & Schlechtendal thought they were describing the same plant as Gmelin's pre-Linnaean phrase name, neither were... Bray's plant is from Latvia, C&S's is from the Bering coast of Alaska, and Gmelin's ""in omni Sibiria crescens"". (C&S's name is also illegitimate, for a separate reason than Coulter & Rose's.) Interestingly, the most recent (2003) revision of Conioselinum does (as David mentioned) dramatically expand C. tataricum from central Asia to include both Bray's and Gmelin's concept. That paper also calls our plants C. chinense, but as they really only focus on Eurasia they appear to be parroting Mathias and Constance's treatment in the vol 28 of the North American Flora (1944-1945). Cronquist's criticisms (Vasc Plants PNW vol 3, 1961) appear completely justified, and the M&C measurements appear to be based almost exclusively on Pacific material (their seed size figures exclude those for New England material given by Cronquist). The M&C treatment was prepared while Mathias was still at Berkeley with Constance, and it's entirely possible that they had insufficient material of C. chinense sensu stricto from New England. The 2003 paper does not cite Cronquist.","AS, AJW, DG",complete
ogi,Apiaceae,Conium maculatum,Conium maculatum,"HJ Narvaez Bay driveways, Saturna 2020. Shore access, Active Pass Drive, Galiano. Shark Pl. N Pender 2020.",,,"AS, AJW",complete
ogi,Apiaceae,Daucus carota,Daucus carota,"Roadsides, cultivated ground, meadows, all islands.",,,"AS, AJW",complete
ogi,Apiaceae,Daucus pusillus,Daucus pusillus,"Dry, open places, grassy bluffs, all islands.",,,"AS, AJW",complete
ogi,Apiaceae,Heracleum mantegazzianum,Heracleum mantegazzianum,"Roadside, North Pender.",,,"AS, AJW",complete
ogi,Apiaceae,Heracleum maximum,Heracleum maximum,"HJ Winter Cove, Saturna in shoreline in Rosa nutkana thicket 1989.",,,"AS, AJW",complete
ogi,Apiaceae,Lomatium grayi,Lomatium grayi,"HJ sea cliffs below Bodega Ridge, Galiano 1982. Now treated as Lomatium papilioniferum J.A. Alexander & W. Whaley. BC material was previously misapplied as Lomatium grayi. Lomatium grayi s.s. occurs only in SE Idaho, Colorado, Utah, Wyoming and New Mexico (Alexander et al. 2018).",,"retain as Lomatium papilioniferum (Alexander et al., 2018) ","AS, AJW",in progress
ogi,Apiaceae,Lomatium nudicaule,Lomatium nudicaule,"Seaside meadows, grassy shorelines and banks, all islands.",,,"AS, AJW",complete
ogi,Apiaceae,Lomatium utriculatum,Lomatium utriculatum,"Grassy bluffs, rocky meadows, all islands.",,,"AS, AJW",complete
ogi,Apiaceae,Oenanthe sarmentosa,Oenanthe sarmentosa,"Pools and streams in shady woods, lake edges and ditches, all islands.",,,"AS, AJW",complete
