area,Family,TaxonName,iNatTaxon,HJ_comment,FPNW_note,critical_comments,reviewed,review_completed,Name.Status,Referred.iNaturalist.Id,Referred.iNaturalist.Name,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety
ssi,Alismataceae,Alisma triviale,Alisma triviale,ICS record for island. Location? HJ obs St. Mary's Lake 1999.,,"Some specimens may refer to A. plantago-aquatica. Historically, the name A. plantago-aquatica (exotic) has been misapplied to the native A. triviale; review vouchers.","AS, AW, DG, FL",complete,accepted,61167,Alisma triviale,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Alismataceae,,,Alisma,triviale,,
ssi,Amaranthaceae,Amaranthus powellii,Amaranthus powellii,"Gardens, waste ground.",,"HJ material from Southern Gulf Islands positively determined by Mihai Costea, who has published extensively on Amaranthus (AS)","AS, DG",complete,accepted,75398,Amaranthus powellii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Amaranthoideae,,Amaranthus,powellii,,
ssi,Amaranthaceae,Atriplex dioica,Atriplex dioica,AC at Young's salt spring 1982. TRA Fernwood 1956.,,"Harvey doesn't recognize Atriplex patula in OGI, Saanich or SSI; synonymizes A. prostrata with A. patula var. hastata (which he only recognizes in SJIs); that Harvey recognized Atriplex dioica but not A. patula in his revised flora suggests to me that he had come to recognize A. dioica as a common species to which the name Atriplex patula may have historically been misapplied? (AS) (AS); A. patula is a Eurasian weed and probably based on old taxonomy.  I would not trust it without a verifying specimen; Atriplex dioica is in for sure.  It is the common native on sea beaches in the whole range. (FL)","AS, FL",complete,accepted,75701,Atriplex dioica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Atripliceae,Atriplex,dioica,,
ssi,Amaranthaceae,Atriplex gmelinii,Atriplex gmelinii,Strand and mudflats.,,"Harvey synonymizes A. gmelinii with A. patula var. obtusa or zosterifolia; the only records from south coast of BC have dated annotations (AS); Atriplex gmelinii is perhaps doubtful, it is not often found here, but certainly possible; A. prostrata is a beach plant with triangular leaves and rather frequent so should be there. (FL)","AS, FL",complete,accepted,75705,Atriplex gmelinii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Atripliceae,Atriplex,gmelinii,,
ssi,Amaranthaceae,Chenopodium album,Chenopodium album,Garden and waste places.,,species you show are correct and present in the area (DG); on list of non-established weeds in BC but HJ apparently recognized it as naturalized (AS),"DG, AS",in progress,accepted,58127,Chenopodium album,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Chenopodieae,Chenopodium,album,,
ssi,Amaranthaceae,Oxybasis macrosperma,Oxybasis macrosperma,TRA Ganges 1959.,,Species you show are correct and present in the area (DG) ,DG,complete,accepted,1023208,Oxybasis macrosperma,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Atripliceae,Oxybasis,macrosperma,,
ssi,Amaranthaceae,Oxybasis rubra var. humilis,Oxybasis rubra humilis,Salt marshes.,,Species you show are correct and present in the area (DG) ,"DG, PD",complete,accepted,931680,Oxybasis rubra humilis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Atripliceae,Oxybasis,rubra,,Oxybasis rubra humilis
ssi,Amaranthaceae,Salicornia pacifica,Salicornia pacifica,"Mud flats, salt marshes and beaches.","recorded by HJ: ‘Salicornia pacifica’; “FPNW2 appears to be following FNA (2003) which reports Sarcocornia perennis (prostrate, with woody stems readily rooting in the substrate) from BC and S. pacifica (procumbent to erect shrubs in which woody stems usually do not root) to include east coast of North America (New Hampshire south to Florida) , California and Mexico, but NOT BC. http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=129207; VASCAN has updated their names to Salicornia pacifica following a more recent treatment by Piirainen et al. 2017 that proposes a new infrageneric classification for Salicornia (incl. Sarcocornia) and shows Salicornia pacifica present in BC.Salicornia perennis is excluded. http://data.canadensys.net/vascan/search?q=sarcocorniaSo, you could move ahead of the pack and call your material Salicornia pacifica Standley sensu Piirianen et al. 2017 OR you could use the synonym Sarcocornia pacifica. I’ll propose the name change (Sarcocornia pacifica to Salicornia pacifica) for fall review, but it would not show up in Species Explorer/E-Flora until next year.” –MD",=Salicornia pacifica,"AS, DG, MD ",complete,accepted,78931,Salicornia pacifica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Salicornioideae,Salicornieae,Salicornia,pacifica,,
ssi,Amaryllidaceae,Allium acuminatum,Allium acuminatum,"Grassy, south facing bluffs.",,,AS,complete,accepted,59782,Allium acuminatum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Allioideae,Allieae,Allium,acuminatum,,
ssi,Amaryllidaceae,Allium amplectens,Allium amplectens,Mt Maxwell grassy ledge with vernal seepage. Isabella Island rocky shore.,,,AS,complete,accepted,60267,Allium amplectens,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Allioideae,Allieae,Allium,amplectens,,
